Linear Interpolation Prediction for IRBT from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 22, Interpolated Closest Days: 1, distance 8.710199
Analysed days: 23, Interpolated Closest Days: 1, distance 8.710199
Analysed days: 24, Interpolated Closest Days: 1, distance 8.710199
Analysed days: 25, Interpolated Closest Days: 1, distance 8.710199
Analysed days: 26, Interpolated Closest Days: 1, distance 8.710199
Analysed days: 27, Interpolated Closest Days: 1, distance 8.710199
Analysed days: 28, Interpolated Closest Days: 1, distance 8.710199
Analysed days: 29, Interpolated Closest Days: 1, distance 8.710199
Analysed days: 8, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 9, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 10, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 11, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 12, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 13, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 14, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 15, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 16, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 17, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 18, Interpolated Closest Days: 1, distance 8.757099
Analysed days: 17, Interpolated Closest Days: 5, distance 9.357664
Analysed days: 18, Interpolated Closest Days: 5, distance 9.357664
Analysed days: 18, Interpolated Closest Days: 7, distance 9.803708
Analysed days: 18, Interpolated Closest Days: 8, distance 10.224324
Analysed days: 24, Interpolated Closest Days: 11, distance 10.356197
Analysed days: 25, Interpolated Closest Days: 11, distance 10.356197
Analysed days: 26, Interpolated Closest Days: 11, distance 10.356197
Analysed days: 27, Interpolated Closest Days: 11, distance 10.356197
Analysed days: 28, Interpolated Closest Days: 11, distance 10.356197
Analysed days: 8, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 9, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 10, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 11, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 12, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 13, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 14, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 15, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 16, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 17, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 18, Interpolated Closest Days: 2, distance 10.361549
Analysed days: 25, Interpolated Closest Days: 12, distance 10.461874
Analysed days: 26, Interpolated Closest Days: 12, distance 10.461874
Analysed days: 27, Interpolated Closest Days: 12, distance 10.461874
Analysed days: 28, Interpolated Closest Days: 12, distance 10.461874
Analysed days: 17, Interpolated Closest Days: 6, distance 10.514459
Analysed days: 18, Interpolated Closest Days: 6, distance 10.514459
Analysed days: 24, Interpolated Closest Days: 12, distance 10.574074
Analysed days: 25, Interpolated Closest Days: 13, distance 10.648602
Analysed days: 26, Interpolated Closest Days: 13, distance 10.648602
Analysed days: 27, Interpolated Closest Days: 13, distance 10.648602
Analysed days: 28, Interpolated Closest Days: 13, distance 10.648602
Analysed days: 17, Interpolated Closest Days: 7, distance 10.863490
Analysed days: 23, Interpolated Closest Days: 8, distance 11.101650
Analysed days: 24, Interpolated Closest Days: 8, distance 11.101650
Analysed days: 25, Interpolated Closest Days: 8, distance 11.101650
Analysed days: 26, Interpolated Closest Days: 8, distance 11.101650
Analysed days: 27, Interpolated Closest Days: 8, distance 11.101650
Analysed days: 28, Interpolated Closest Days: 8, distance 11.101650
Analysed days: 23, Interpolated Closest Days: 10, distance 11.124909
Analysed days: 24, Interpolated Closest Days: 10, distance 11.124909
Analysed days: 25, Interpolated Closest Days: 10, distance 11.124909
Analysed days: 26, Interpolated Closest Days: 10, distance 11.124909
Analysed days: 27, Interpolated Closest Days: 10, distance 11.124909
Analysed days: 28, Interpolated Closest Days: 10, distance 11.124909
Analysed days: 23, Interpolated Closest Days: 11, distance 11.332447
Analysed days: 22, Interpolated Closest Days: 9, distance 11.520264
Analysed days: 22, Interpolated Closest Days: 7, distance 11.594816
Analysed days: 23, Interpolated Closest Days: 7, distance 11.594816
Analysed days: 24, Interpolated Closest Days: 7, distance 11.594816
Analysed days: 25, Interpolated Closest Days: 7, distance 11.594816
Analysed days: 26, Interpolated Closest Days: 7, distance 11.594816
Analysed days: 27, Interpolated Closest Days: 7, distance 11.594816
Analysed days: 28, Interpolated Closest Days: 7, distance 11.594816
Analysed days: 24, Interpolated Closest Days: 15, distance 11.698901
Analysed days: 24, Interpolated Closest Days: 16, distance 11.698901
Analysed days: 24, Interpolated Closest Days: 17, distance 11.698901
Analysed days: 24, Interpolated Closest Days: 18, distance 11.698901
Analysed days: 24, Interpolated Closest Days: 19, distance 11.698901
Analysed days: 24, Interpolated Closest Days: 20, distance 11.698901
Analysed days: 24, Interpolated Closest Days: 21, distance 11.698901
Analysed days: 24, Interpolated Closest Days: 22, distance 11.698901
Analysed days: 24, Interpolated Closest Days: 23, distance 11.698901
Analysed days: 25, Interpolated Closest Days: 16, distance 11.708444
Analysed days: 25, Interpolated Closest Days: 17, distance 11.708444
Analysed days: 25, Interpolated Closest Days: 18, distance 11.708444
Analysed days: 25, Interpolated Closest Days: 19, distance 11.708444
Analysed days: 25, Interpolated Closest Days: 20, distance 11.708444
Analysed days: 25, Interpolated Closest Days: 21, distance 11.708444
Analysed days: 25, Interpolated Closest Days: 22, distance 11.708444
Analysed days: 25, Interpolated Closest Days: 23, distance 11.708444
Analysed days: 25, Interpolated Closest Days: 24, distance 11.708444
Analysed days: 26, Interpolated Closest Days: 16, distance 11.708444
Analysed days: 26, Interpolated Closest Days: 17, distance 11.708444
Analysed days: 26, Interpolated Closest Days: 18, distance 11.708444
Analysed days: 26, Interpolated Closest Days: 19, distance 11.708444
Analysed days: 26, Interpolated Closest Days: 20, distance 11.708444
Analysed days: 26, Interpolated Closest Days: 21, distance 11.708444
Analysed days: 26, Interpolated Closest Days: 22, distance 11.708444
Analysed days: 26, Interpolated Closest Days: 23, distance 11.708444
Analysed days: 26, Interpolated Closest Days: 24, distance 11.708444
Analysed days: 26, Interpolated Closest Days: 25, distance 11.708444
Analysed days: 27, Interpolated Closest Days: 16, distance 11.708444
Analysed days: 27, Interpolated Closest Days: 17, distance 11.708444
Analysed days: 27, Interpolated Closest Days: 18, distance 11.708444
Analysed days: 27, Interpolated Closest Days: 19, distance 11.708444
Analysed days: 27, Interpolated Closest Days: 20, distance 11.708444
Analysed days: 27, Interpolated Closest Days: 21, distance 11.708444
