Symbol	Description
BOL	Bold Ventures Inc
BOR	Border Petroleum Limited
BP	Backstageplay Inc
BP.H	Backstageplay Inc
BPLI	Bluedrop Performance Learning Inc
BPWR.UN	Blockchain Power Trust
BQE	Bqe Water Inc
BRC	Blackrock Gold Corp
BRD	Broadway Gold Mining Ltd
BRG.H	Brigadier Gold Limited
BRL	Bearclaw Capital Corp
BRM	Biorem Inc
BRN.PR.A	Brookfield Investments Corp Pref A
BRO	Barksdale Capital Corp
BRS	Brs Resources Ltd
BRZ	Bearing Lithium Corp
BSK	Blue Sky Uranium Corp
BSR	Bluestone Resources Inc
BTI	Bioasis Technologies Inc
BTL	Btl Group Ltd
BTR	Bonterra Resources Inc
BTRU	Betteru Education Corp
BTT	Bitterroot Resources Ltd
BTU	Btu Metals Corp
BTV	Bluerush Inc.
BUD	Satori Resources Inc
BUF	Buffalo Coal Corp
BUL	Bullman Minerals Inc
BUS	Grande West Transportation Group Inc
BUZD.P	High Mountain Capital Corporation
BVA	Bravada Gold Corp
BVO	Bevo Agro Inc
BWLK	Boardwalktech Software Corp
BWR	Bwr Exploration Inc
BXR	Blue River Resources Ltd
BYM.H	Baymount Incorporated
BYN	Banyan Gold Corp
BZ	Benz Mining Corp
C	Contact Gold Inc
CA.H	Catalina Gold Corp
CAB.P	Cabernet Captial Corp
CAD	Colonial Coal International Corp
CAF	Canaf Group Inc
CANB.P	Canadabis Capital Inc
CAND	Candelaria Mining Corp
CANX	Canex Metals Inc
CAP	Castle Peak Mining Ltd
CAQ.P	Commerce Acquisition Corp
CASA	Casa Minerals Inc
CAV	Camrova Resources Inc
CAY	Cache Exploration Inc
CBA	Champion Bear Res Ltd
CBE	Cabo Drilling Corp
CBG	Chibougamau Independent Mines Inc
CBI	Colibri Resource Corp
CBLT	Cblt Inc
CBLU	Clear Blue Technologies Intl Inc
CBM.H	Cbd Med Research Corp
CBR	Cabr Al Gold Inc
CBS	Bard Ventures Ltd
CBV	Cobra Venture Corp
CBX	Cortex Business Solutions Inc
CCB	Canada Carbon Inc
CCC	Cornerstone Metals Inc
CCD	Cascadero Copper Corp
CCE	Commerce Resources Corp
CCK	Canada Coal Inc
CCW	Canada Cobalt Works Inc.
CD	Cantex Mine Development Corp
CDA	Canuc Resources Corp
CDB	Cordoba Minerals Corp
CDC	Cadillac Ventures Inc
CDG	Candente Gold Corp
CDU	Cardero Resource Corp
CE	Canada Energy Partners Inc
CEL.H	Columbus Energy Limited
CEM	Constantine Metal Resources Ltd
CEN	Claren Energy Corp
CEO.H	Clydesdale Resources Inc.
CEP	Cliffside Capital Ltd
CFM	Confederation Minerals Ltd
CFY	Changfeng Energy Inc
CGD	Carlin Gold Corp
CGLD	Core Gold Inc.
CGM	California Gold Mining Inc
CGP	Cornerstone Capital Resources Inc
CGP.WT.S	Cornerstone Capital Res Inc Wts
CH	Urban Select Captial Corp
CHC	Chc Student Housing Corp
CHEM	Canadian Energy Materials Corp.
CHN	China Education Resources Inc
CIFR	Cipher Resources Inc.
CIO	Central Iron Ore Limited
CIP.H	Canadian International Pharma Corp
CIT	Cr Capital Corp
CJC	Quebec Precious Metals Corp.
CKG	Chesapeake Gold Corp
CKK	Cordy Oilfield Services Inc
CKZ.H	Caspian Energy Inc
CLB	Colombia Crest Gold Corp
CLE	Clean Commodities Corp
CLH	Coral Gold Resources Ltd
CLI	Clearford Water Systems Inc
CLM	Crystal Lake Mining Corp
CLY	Clarocity Corp
CLZ	Canasil Resources Inc
CMB	Cmc Metals Ltd
CMD	Commander Resources Ltd
CMI	C-Com Satellite Systems Inc
CML	Canickel Mining Limited
CMU	Comet Industries Ltd
CMV	China Minerals Mining Corp
CMX	Chilean Metals Inc
CN	Condor Resources Inc
CNA.H	Canasia Financial Inc
CNC	Canyon Copper Corp
CNH	Crownia Holdings Ltd
CNO	California Nanotechnologies Corp
CNS	Contagious Gaming Inc
CNX	Callinex Mines Inc
COBC	Cobalt Blockchain Inc.
COIN	Malbex Resources Inc
COL	Copper North Mining Corp
CONE	Canada One Mining Corp
COO	Naturebank Asset Management Inc
COPS	Crops Inc.
COR	Camino Minerals Corp
CORE	Canadian Orebodies Inc
COT	Cotinga Pharmaceuticals Inc.
COV	Covalon Technologies Ltd
CPA.H	Chinapintza Mining Corp
CPC	Canadian Platinum Corp
CPL	Copper Lake Resources Ltd
CPM	Crystal Peak Minerals Inc
CPO	Cobalt Power Group Inc
CPQ.P	Cinaport Acquisition Corp II
CPS	Claim Post Resources Inc
CPTO	Cryptoglobal Corp.
CQR	Conquest Resources Ltd
CQV.H	Canadian Imperial Venture Corp
CRB	Cariboo Rose Resources Ltd
CRD.H	Coronado Resources Ltd
CRE	Critical Elements Corp
CRU	Cameo Cobalt Corp.
CRX.H	Cerro Mining Corp
CSC.H	Canex Energy Corp
CSL	Comstock Metals Ltd
CSO	Corsa Coal Corp
CST	Co2 Solutions Inc
CSX	Clean Seed Capital Group Ltd
CT	Centenara Mining Corp
CTI	Caiterra International E
CTM	Canterra Minerals Corp
CTN	Centurion Minerals Ltd
CTO	Circa Enterprises Inc
CTU	Le Chateau Inc Cl B
CTZ	Namsys Inc
CUC	Carube Copper Corp
CUI	Currie Rose Resources Inc
CUO	Copper One Inc
CUU	Copper Fox Metals Inc
CUV	Cuv Ventures Corp.
CUZ	Cruz Cobalt Corp
CV.H	Chantrell Ventures Corp
CVB	Compass Gold Corporation
CVM	Cvr Medical Corp
CVR	CDN Oil Recovery Remediation Ent Ltd
CVS.P	Canvass Ventures Ltd
CVV	Canalaska Uranium Ltd
CVX	Cematrix Corp
CWC	Cwc Energy Services Corp
CWM	Crown Mining Corp
CWV	Crown Point Energy Inc
CX	Clarmin Explorations Inc
CXB	Calibre Mining Corp
CXO	Colorado Resources Ltd
CYF	Canyon Creek Food Co Ltd
CYL	Ceylon Graphite Corp
CYM	Cymat Technologies Ltd
CYP	Cypress Development Corp
CYX	Calyx Ventures Inc.
CZO	Ceapro Inc
CZQ.H	Continental Precious Minerals Inc
CZZ	Cleghorn Minerals Ltd
DAC	Datable Technology Corp.
DAL	Dalmac Energy Inc
DAN	Arianne Phosphate Inc
DAP.U	Xpel Technologies Corp
DAR	Darelle Online Solutions Inc
DASH	Neptune Dash Technologies Corp
DAU	Desert Gold Ventures Inc
DBD.H	Darien Business Development Corp
DBV	Doubleview Capital Corp
DCOP	District Copper Corp.
DCY	Discovery-Corp. Enterprises Inc
DE	Decisive Dividend Corp
DEC	Decade Resources Ltd
DEF	Defiance Silver Corp
DELX	Delphx Capital Markets Inc
DEX	Almadex Minerals Ltd
DFR	Diamond Fields Resources Inc.
DFS	Global Daily Fantasy Sports Inc
DGO	Durango Resources Inc
DHR	Discovery Harbour Resources Corp
DIA	Margaret Lake Diamonds Inc
DJI	Dajin Resources Corp
DLC	Dlc Holdings Corp
DLI	Desert Lion Energy Inc.
DLS	Dealnet Capital Corp
DLV.H	Dv Resources Ltd
DM	Datametrex Ai Ltd
DMA	Diamedica Therapeutics Inc
DMC.H	Dataminers Capital Corp
DME	Desert Mountain Energy Corp.
DMG.H	Dmd Digital Health Connections Group Inc
DMGI	Dmg Blockchain Solutions Inc
DMI	Diamcor Mining Inc
DMR	Damara Gold Corp
DNAX	Blockstrain Technology Corp.
DNX	Dynex Power Inc
DOS	Dios Exploration Inc
DPH	Duncan Park Holdings Corp
DRV	Duran Ventures Inc
DSM	Deep South Resources Inc
DSV	Discovery Metals Corp
DSY	Destiny Media Technologies Inc
DUG	Distinct Infrastructure Group Inc
DV	Dolly Varden Silver Corp
DVA	Delivra Corp
DVC.H	Devin Energy Corp
DVG	Divergent Energy Services Corp
DVI	Dunnedin Ventures Inc
DVT	Divestco Inc
DWS	Diamond Estates Wines and Spirits Inc
DXA	Doxa Energy Ltd
DXX	Dxstorm.Com Inc.
DYA	Dynacert Inc
DYG	Dynasty Gold Corp
EAM	East Africa Metals Inc
EAS	East Asia Minerals Corp
EAST	Harbour Star Capital Inc
EAU	Engineer Gold Mines Ltd
EBM	Eastwood Bio Medical Canada Inc
EBY	Emerald Bay Energy Inc
ECC	Ethos Gold Corp
ECM	Ecolomondo Corporation
ECR	Cartier Resources Inc
ECT	Ellipsiz Communications Ltd
EDG	Endurance Gold Corp
EDW.H	Edgewater Exploration Ltd
EGA	Eagle Graphite Incorporated
EGD	Energold Drilling Corp
EGM	Engold Mines Ltd
EGT	Eguana Technologies Inc
EH.P	Elephant Hill Capital Inc
EHT	Enerdynamic Hybrid Tech Corp
EIL	Empire Industries Ltd
EKG	Cardiocomm Solutions Inc
EL	Engagement Labs Inc
ELC	Elysee Development Corp
ELM	Element Lifestyle Retirement Inc
ELN	El Nino Ventures Inc
ELO	Eloro Resources Ltd
ELT	Electra Stone Ltd
ELY	Ely Gold Royalties Inc.
EMC	Emblem Corp
EMC.WT	Emblem Corp Wts
EMC.WT.A	Emblem Corp Wts
EMC.WT.B	Emblem Corp Wts B
EMH	Emerald Health Therapeutics Inc
EMO	Emerita Resources Corp
EMR	Emgold Mining Corp
EMX	Emx Royalty Corp
ENA	Enablence Technologies Inc
ENER	Enerspar Corp
ENRG	New Energy Metals Corp.
ENV.H	Enssolutions Group Inc
ENW	Enwave Corp
ENW.WT	Enwave Corporation Wts
EOG	Eco Atlantic Oil and Gas Ltd
EP	Empire Metals Corp
EPI	Essa Pharma Inc
EPL	Eagle Plains Resources Ltd
EPO	Encanto Potash Corp
EPWR	Epower Metals Inc.
EQ	Eq Inc
EQG	Eqube Gaming Limited
EQX	Equinox Gold Corp.
EQX.WT	Equinox Gold Corp Wts
ERA	Elcora Advanced Materials Corp
ERC	Eros Resources Corp
ERE.UN	European Commercial REIT
ERL.H	Earl Resources Limited
ES	Eight Solutions Inc
ESK	Eskay Mining Corp
ESR	Esrey Resources Ltd.
ESS	Esstra Industries Inc.
ESU	Eestor Corp
ESV	Esi Environmental Sensors Inc
ESX	Essex Minerals Inc
ETF	Eastfield Resources Ltd
ETMC	E3 Metals Corp
EU	Encore Energy Corp
EUO	Eurocontrol Technics Group Inc
EV	Erin Ventures Inc
EVE	Eve and Co Incorporated
EVM	Evrim Resources Corp
EVR	Everton Resources Inc
EVX	European Electric Metals Inc.
EW	East West Petroleum Corp
EWK	Earthworks Industries Inc
EWS	Environmental Waste International Inc
EXG	Exgen Resources Inc
EXS	Explor Resources Inc
EXX	Equitorial Exploration Corp
EYC	Eyecarrot Innovations Corp
F	Fiore Exploration Ltd
FA	Fountain Asset Corp
FBF	Fab-Form Industries Ltd
FBX	First Bauxite Corp
FCA	Firm Capital American Realty Part CAD
FCA.U	Firm Capital American Realty Part Corp
FCA.WT.U	Firm Cap American Realty Part Wts USD
FCC	First Cobalt Corp
FCD.UN	Firm Capital Property Trust
FCF	Founders Advantage Capital Corp
FDI	Findev Inc
FE	First Energy Metals Limited
FEO	Oceanic Iron Ore Corp
FEX	Fjordland Exploration Inc
FG	Falcon Gold Corp
FGC	Frontline Gold Corp
FGR	Fengro Industries Corp.
FIL	Filo Mining Corp
FIRE	The Supreme Cannabis Company Inc.
FISH	Sailfish Royalty Corp
FIX	Firebird Resources Inc
FL	Frontier Lithium Inc
FLGC	Fanlogic Interactive Inc
FLM	First Legacy Mining Corp
FLT	Drone Delivery Canada Corp
FLY	Flyht Aerospace Solutions Ltd
FMC	Forum Energy Metals Corp.
FMG	First Mexican Gold Corp
FMR	Fairmont Resources Inc
FMS	Focus Graphite Inc
FMV.P	Foremost Ventures Corp
FNC	Fancamp Exploration Ltd
FNR	49 North Resources Inc
FO	Falcon Oil & Gas Ltd
FOM	Foran Mining Corp
FOR	Fortune Bay Corp
FP	Fp Newspapers Inc
FPC	Falco Resources Ltd
FPC.WT	Falco Resources Ltd Wts
FPX	Fpx Nickel Corp
FRE	Fremont Gold Ltd
FREE	Freedom Energy Inc
FRI	Freeport Resources Inc
FRN	Feronia Inc
FSW	Fireswirl  Technologies Inc
FTEC	Fintech Select Ltd
FTI	Fti Foodtech Internation
FTJ	Fort ST James Nickel Corp
FTJ.H	Fort ST James Nickel Corp
FTR	Firesteel Resources Inc
FUND	Katipult Technology Corp
FURA	Fura GEMS Inc.
FUU	Fission 3.0 Corp
FV	Firestone Ventures Inc
FW	Flow Capital Corp
