Symbol	Description
AMG	Alcaston Mining NL
AMH	AMCIL Ltd
AMI	Aurelia Metals Limited
AML	AMRAD Corporation Ltd
AMN	Agrimin Limited
AMO	Ambertech Ltd
AMP	AMP Ltd
AMPBOD	Amp Limited
AMPBOE	Amp Limited
AMPBOH	Amp Limited
AMPBON	Amp Limited
AMPBOU	Amp Limited
AMPBOY	Amp Limited
AMPHA	Amp Limited
AMPKOA	Amp Limited
AMPKOB	Amp Limited
AMPKOH	Amp Limited
AMPKOJ	Amp Limited
AMPKOQ	Amp Limited
AMPKOS	Amp Limited
AMPKOT	Amp Limited
AMPKOV	Amp Limited
AMPLOA	Amp Limited
AMPLOB	Amp Limited
AMPLOD	Amp Limited
AMPLOQ	Amp Limited
AMPLOR	Amp Limited
AMPLOU	Amp Limited
AMPLOV	Amp Limited
AMPPA	Amp Limited
AMT	Advanced Surgical Design & Manufacture Ltd
ANG	Austin Engineering Ltd
ANL	Anaconda Nickel Nl
ANN	Ansell Ltd
ANNKOB	Ansell Limited
ANNKOC	Ansell Limited
ANNKOP	Ansell Limited
ANNKOR	Ansell Limited
ANO	Advanced Nanotechnology Ltd
ANP	Antisense Therapeutics Ltd
ANPOB	Antisense Therapeutics Limited
ANQ	Anaeco Ltd
ANR	Anatara Lifesciences Ltd
ANS	Austsino Resources Group Limited
ANW	Ausnico Limited
ANZ	Australia & NZ Banking Group Ltd
ANZBOA	Australia And New Zealand Banking Group Limited
ANZBOE	Australia And New Zealand Banking Group Limited
ANZBOG	Australia And New Zealand Banking Group Limited
ANZBON	Australia And New Zealand Banking Group Limited
ANZBOQ	Australia And New Zealand Banking Group Limited
ANZBOR	Australia And New Zealand Banking Group Limited
ANZKOC	Australia And New Zealand Banking Group Limited
ANZKOG	Australia And New Zealand Banking Group Limited
ANZKOI	Australia And New Zealand Banking Group Limited
ANZKOL	Australia And New Zealand Banking Group Limited
ANZKOM	Australia And New Zealand Banking Group Limited
ANZKON	Australia And New Zealand Banking Group Limited
ANZKOP	Australia And New Zealand Banking Group Limited
ANZKOR	Australia And New Zealand Banking Group Limited
ANZKOU	Australia And New Zealand Banking Group Limited
ANZKOV	Australia And New Zealand Banking Group Limited
ANZLOA	Australia And New Zealand Banking Group Limited
ANZLOB	Australia And New Zealand Banking Group Limited
ANZLOD	Australia And New Zealand Banking Group Limited
ANZLOF	Australia And New Zealand Banking Group Limited
ANZLOP	Australia And New Zealand Banking Group Limited
ANZLOT	Australia And New Zealand Banking Group Limited
ANZLOU	Australia And New Zealand Banking Group Limited
ANZLOV	Australia And New Zealand Banking Group Limited
ANZLOW	Australia And New Zealand Banking Group Limited
ANZMOR	Australia And New Zealand Banking Group Limited
ANZMOT	Australia And New Zealand Banking Group Limited
ANZPC	Australia And New Zealand Banking Group Limited
ANZPD	Australia And New Zealand Banking Group Limited
ANZPE	Australia And New Zealand Banking Group Limited
ANZPF	Australia And New Zealand Banking Group Limited
ANZPG	Australia And New Zealand Banking Group Limited
ANZPH	Australia And New Zealand Banking Group Limited
ANZQOJ	Australia And New Zealand Banking Group Limited
AO1	Assetowl Limited
AO1O	Assetowl Limited
AO1OA	Assetowl Limited
AOA	
AOD	Aurora Sandringham Dividend Income Trust
AOF	AMP Office Trust
AOG	Aveo Group
AOGKOC	Aveo Group
AOK	Austex Oil Ltd
AON	Apollo Minerals Ltd
AOP	Apollo Life Sciences Ltd
AOU	Auroch Minerals Nl
AOW	American Patriot Oil & Gas Limited
AOWOA	American Patriot Oil & Gas Limited
AOWOB	American Patriot Oil & Gas Limited
APA	Australian Pipeline Trust
APABOD	Apa Group
APABOU	Apa Group
APAKOC	Apa Group
APAKOD	Apa Group
APAKOR	Apa Group
APC	Australian Potash Limited
APCOA	Australian Potash Limited
APD	APN Property Group Ltd
APE	AP Eagers Holdings Ltd
APG	Austpac Gold Resources NL
API	Australian Pharmaceutical Ind Ltd
APL	Australian Plantation Timber Ltd
APLO	Antipodes Global Investment Company Ltd
APO	Apn Outdoor Group Limited
APOKOB	Apn Outdoor Group Limited
APOKOC	Apn Outdoor Group Limited
APOKOD	Apn Outdoor Group Limited
APOKOQ	Apn Outdoor Group Limited
APT	Afterpay Touch Group Limited
APW	Aims Property Securities Fund
APX	Appen Limited
APZ	Aspen Group
AQC	Australian Pacific Coal Limited
AQD	AusQuest Ltd
AQF	Australian Governance Masters Index Fund Limited
AQG	Alacer Gold Corp
AQI	Alicanto Minerals Limited
AQIO	Alicanto Minerals Limited
AQS	Aquis Entertainment Limited
AQX	Alice Queen Limited
AQZ	Alliance Aviation Services Limited
ARA	Ariadne Australia Ltd
ARB	Arb Corporation Limited.
ARC	Amalg Resources Nl
ARCO	Australian Rural Capital Limited
ARD	Argent Minerials Lts
ARDO	Argent Minerials Lts
ARE	Argonaut Resources NL
ARF	Arena Reit
ARG	Argo Investments Ltd
ARH	Australasian Resources Ltd
ARI	Arrium Limited
ARL	Austrim
ARM	Aurora Minerals Ltd
ARO	Astro Diamond Mines NL
ARQ	ARC Energy Ltd
ARS	Alt Resources Limited
ARU	Arafura Resources NL
ARV	Artemis Resources Ltd
ARX	Austindo Resources Corporation NL
AS1	Angel Seafood Holdings Ltd
ASB	Austal Ltd
ASG	Autosports Group Limited.
ASH	Ashley Services Group Limited
ASL	Ausdrill Ltd
ASN	Anson Resources Limited
ASNOB	Anson Resources Limited
ASP	Aspermont Ltd
AST	Ausnet Services
ASTKOB	Ausnet Services Limited
