Symbol	Description
0EPW	HOCHTIEF AG NPV
0ES0	ICT AUTOMATISERING EUR0.10
0EUH	INDUS-HOLDING AG NPV
0EVE	INTEROIL EXPLORATION & PRODUCTION NOK0.05
0EVI	INNATE PHARMA A EUR0.05
0EW0	INTESA SANPAOLO SPA DI RISP EUR0.52(NON CNV)
0EW1	ISRA VISION AG NPV
0EWD	INTERPUMP GROUP EUR0.52
0EWR	INIT AG NPV
0EX7	JENOPTIK AG NPV
0EXG	JERONIMO MARTINS SGPS EUR1.
0EXP	JUNGHEINRICH NON VTG PRF SHS NPV
0EYG	KBC GROUPE SA NPV
0F07	KAUFMAN & BROAD EUR0.26
0F08	KONGSBERG GRUPPEN ASA NOK5
0F0J	KITRON ASA NOK1
0F1N	KWS SAAT AG NPV
0F1U	LACROIX INDUSTRIES NPV
0F29	LASSILA & TIKAN ORD NPV
0F2N	LDLC.COM EUR0.18
0F2Q	LA DORIA SPA EUR1.22
0F2S	LINEDATA SERVICES EUR1
0F2Z	LEIFHEIT AG NPV
0F4I	KLEPIERRE EUR1.40
0F4O	LOTUS BAKERIES ORD NPV
0F55	LANNEN TEHTAAT OYJ EUR2
0F6L	MAUREL & PROM EUR0.77
0F7F	DURO FELGUERA EUR0.5
0F89	METSO OYJ NPV1.70
0F8T	MAISONS FRANCE CONFORT NPV
0F8V	MGI COUTIER EUR8
0FA0	MELEXIS NPV
0FB0	MOTA ENGIL SGPS EUR1
0FBM	MICRO SYSTEMATIONS NPV SER`B`
0FBS	MOBISTAR NPV
0FC9	MTU AERO ENGINES INVEST NPV (REGD)
0FDT	NEMETSCHEK AG ORD NPV
0FF9	NORDIC SEMICONDUCTOR NOK0.05
0FFY	NOKIAN RENKAA(NOKIAN TYRES) EUR0.2
0FG8	AUDI AG NPV
0FGH	NORWEGIAN AIR SHUTLE ASA NOK0.10
0FGL	NEXUS AG NPV
0FH7	OHB TELEDATA AG NPV
0FHP	OLAV THON EIENDOMSSELSKAP NOK10
0FHS	OLVI SER`A`EUR2
0FI1	OPAP SA EUR0.30(CR)
0FI5	OPERA SOFTWARE SA NOK0.02
0FIN	ORKLA ASA NOK1.25
0FIW	OSSUR HF ISK1
0FIZ	HELLENIC TELECOM.ORGANIZATION S.A. EUR2.39
0FJ8	OUTOKUMPU OYJ `A`NPV
0FJC	PATRIZIA IMMOBILIEN AG NPV
0FM1	PIAGGIO & C SPA EUR0.52
0FMN	POLSKI KONCERN NAFTOWY ORLEN SA PLN1.25
0FMO	POWSZECHNA KASA OSZCZED BK POLSKI PLN1
0FNZ	PONSSE NPV
0FPB	PARIS ORLEANS EUR2
0FQ8	PORTUGAL TELECOM SGPS SA EUR0.35(REGD)
0FQI	PUBLICIS GROUPE SA EUR0.40
0FQR	PFEIFFER VACUUM TECHNOLOGY ORD NPV
0FQS	PESCANOVA SA EUR6
0FR0	EUROPA & C PAPELES Y CART DE EUROPA EUR2
0FRI	QUANTEL EUR3
0FRJ	RATIONAL AG NPV
0FRW	ROSENBAUER INTERNATIONAL AG NPV
0FS8	RENEWABLE ENERGY CORP AS NOK1
0FSN	RESILUX NPV
0FSO	RETAIL ESTATES NPV
0FT3	RIBER EUR0.16
0FTQ	RISANAMENTO(SOC PEL)DI NAPOLI SPA EUR1.03
0FUZ	RWE AG(NEU) NON VTG PRF NPV
0FV0	METALEUROP SA EUR3.81
0FWY	SALMAR ASA NOK0.25
0G0W	SIAS EUR0.50
0G0X	SILICON SENSOR INTERNATIONAL AG NPV
0G15	KOENIG & BAUER AG NPV
0G1T	SOLUCOM SA NPV
0G29	SEMPERIT HLDGS AG NPV
0G2X	SOFINA NPV
0G2Z	SOLSTAD NOK2
0G33	SOLAR A/S `B`DKK100
0G3T	SO PA F SPA EUR0.50
0G5B	STO AG NON VTG PRF NPV
0G67	SPAREBANKEN VEST NOK100 GRUNNFONDSBEVIS
0G68	KENDRION N.V. EUR2
0G6T	SYMRISE AG NPV
0G73	SOFTING AG NPV
0G77	SALZGITTER AG ORD NPV
0G79	STOLBERGER TELECOM AG ORD NPV
0G7B	SUDZUCKER AG NPV
0G8C	TELENOR ASA ORD NOK6
0G8Z	TOMORROW FOCUS AG NPV
0G91	TREVI FINANZIARIA INDUSTRIALE EUR0.50
0G99	THROMBOGENICS NPV
0G9J	TAMBURI INVESTMENT PARTNERS EUR0.52
0G9W	GESTEVISION TELECINCO SA ORD EUR0.5
0GA3	TELECOM ITALIA SPA(NEW) DI RISP EUR0.55
0GAF	TELENET NPV
