Linear Interpolation Prediction for GOOG from 2018-01-24-09:30 to 2018-01-24-10:30

Analysed days: 14, Interpolated Closest Days: 2, distance 147.025488
Analysed days: 15, Interpolated Closest Days: 2, distance 147.025488
Analysed days: 16, Interpolated Closest Days: 2, distance 147.025488
Analysed days: 17, Interpolated Closest Days: 3, distance 147.332593
Analysed days: 18, Interpolated Closest Days: 3, distance 147.332593
Analysed days: 19, Interpolated Closest Days: 3, distance 147.332593
Analysed days: 6, Interpolated Closest Days: 1, distance 147.708774
Analysed days: 7, Interpolated Closest Days: 1, distance 147.708774
Analysed days: 8, Interpolated Closest Days: 1, distance 147.708774
Analysed days: 9, Interpolated Closest Days: 1, distance 147.708774
Analysed days: 10, Interpolated Closest Days: 1, distance 147.708774
Analysed days: 11, Interpolated Closest Days: 1, distance 147.708774
Analysed days: 12, Interpolated Closest Days: 1, distance 147.708774
Analysed days: 13, Interpolated Closest Days: 1, distance 147.708774
Analysed days: 14, Interpolated Closest Days: 1, distance 149.136282
Analysed days: 15, Interpolated Closest Days: 1, distance 149.136282
Analysed days: 16, Interpolated Closest Days: 1, distance 149.136282
Analysed days: 17, Interpolated Closest Days: 2, distance 149.704229
Analysed days: 18, Interpolated Closest Days: 2, distance 149.704229
Analysed days: 19, Interpolated Closest Days: 2, distance 149.704229
Analysed days: 17, Interpolated Closest Days: 1, distance 153.232020
Analysed days: 18, Interpolated Closest Days: 1, distance 153.232020
Analysed days: 19, Interpolated Closest Days: 1, distance 153.232020
Analysed days: 20, Interpolated Closest Days: 4, distance 162.603634
Analysed days: 21, Interpolated Closest Days: 4, distance 162.603634
Analysed days: 2, Interpolated Closest Days: 1, distance 162.897961
Analysed days: 28, Interpolated Closest Days: 1, distance 169.251801
Analysed days: 29, Interpolated Closest Days: 1, distance 169.251801
Analysed days: 20, Interpolated Closest Days: 3, distance 169.396251
Analysed days: 21, Interpolated Closest Days: 3, distance 169.396251
Analysed days: 17, Interpolated Closest Days: 4, distance 169.485851
Analysed days: 18, Interpolated Closest Days: 4, distance 169.485851
Analysed days: 19, Interpolated Closest Days: 4, distance 169.485851
Analysed days: 14, Interpolated Closest Days: 3, distance 176.024088
Analysed days: 15, Interpolated Closest Days: 3, distance 176.024088
Analysed days: 16, Interpolated Closest Days: 3, distance 176.024088
Analysed days: 20, Interpolated Closest Days: 5, distance 177.632803
Analysed days: 21, Interpolated Closest Days: 5, distance 177.632803
Analysed days: 20, Interpolated Closest Days: 2, distance 181.124667
Analysed days: 21, Interpolated Closest Days: 2, distance 181.124667
Analysed days: 6, Interpolated Closest Days: 3, distance 181.489026
Analysed days: 6, Interpolated Closest Days: 4, distance 181.489026
Analysed days: 6, Interpolated Closest Days: 5, distance 181.489026
Analysed days: 17, Interpolated Closest Days: 5, distance 183.729111
Analysed days: 18, Interpolated Closest Days: 5, distance 183.729111
Analysed days: 19, Interpolated Closest Days: 5, distance 183.729111
Analysed days: 29, Interpolated Closest Days: 8, distance 184.496802
Analysed days: 20, Interpolated Closest Days: 6, distance 188.180459
Analysed days: 21, Interpolated Closest Days: 6, distance 188.180459
Analysed days: 29, Interpolated Closest Days: 9, distance 190.561179
Analysed days: 29, Interpolated Closest Days: 7, distance 190.629885
Analysed days: 6, Interpolated Closest Days: 2, distance 191.338340
Analysed days: 7, Interpolated Closest Days: 2, distance 191.338340
Analysed days: 8, Interpolated Closest Days: 2, distance 191.338340
Analysed days: 9, Interpolated Closest Days: 2, distance 191.338340
Analysed days: 10, Interpolated Closest Days: 2, distance 191.338340
Analysed days: 11, Interpolated Closest Days: 2, distance 191.338340
Analysed days: 12, Interpolated Closest Days: 2, distance 191.338340
Analysed days: 13, Interpolated Closest Days: 2, distance 191.338340
Analysed days: 28, Interpolated Closest Days: 7, distance 192.328713
Analysed days: 15, Interpolated Closest Days: 4, distance 192.498626
Analysed days: 16, Interpolated Closest Days: 4, distance 192.498626
Analysed days: 21, Interpolated Closest Days: 13, distance 192.693438
Analysed days: 21, Interpolated Closest Days: 14, distance 192.693438
Analysed days: 21, Interpolated Closest Days: 15, distance 192.693438
Analysed days: 21, Interpolated Closest Days: 16, distance 192.693438
Analysed days: 21, Interpolated Closest Days: 17, distance 192.693438
Analysed days: 21, Interpolated Closest Days: 18, distance 192.693438
Analysed days: 21, Interpolated Closest Days: 19, distance 192.693438
Analysed days: 21, Interpolated Closest Days: 20, distance 192.693438
Analysed days: 29, Interpolated Closest Days: 10, distance 195.587057
Analysed days: 27, Interpolated Closest Days: 6, distance 197.027769
Analysed days: 28, Interpolated Closest Days: 8, distance 198.180543
Analysed days: 14, Interpolated Closest Days: 8, distance 198.577418
Analysed days: 14, Interpolated Closest Days: 9, distance 198.577418
Analysed days: 14, Interpolated Closest Days: 10, distance 198.577418
Analysed days: 14, Interpolated Closest Days: 11, distance 198.577418
Analysed days: 14, Interpolated Closest Days: 12, distance 198.577418
Analysed days: 14, Interpolated Closest Days: 13, distance 198.577418
Analysed days: 17, Interpolated Closest Days: 11, distance 199.072226
Analysed days: 17, Interpolated Closest Days: 12, distance 199.072226
Analysed days: 17, Interpolated Closest Days: 13, distance 199.072226
Analysed days: 17, Interpolated Closest Days: 14, distance 199.072226
Analysed days: 17, Interpolated Closest Days: 15, distance 199.072226
Analysed days: 17, Interpolated Closest Days: 16, distance 199.072226
Analysed days: 18, Interpolated Closest Days: 11, distance 199.072226
Analysed days: 18, Interpolated Closest Days: 12, distance 199.072226
Analysed days: 18, Interpolated Closest Days: 13, distance 199.072226
Analysed days: 18, Interpolated Closest Days: 14, distance 199.072226
Analysed days: 18, Interpolated Closest Days: 15, distance 199.072226
Analysed days: 18, Interpolated Closest Days: 16, distance 199.072226
Analysed days: 18, Interpolated Closest Days: 17, distance 199.072226
Analysed days: 19, Interpolated Closest Days: 11, distance 199.072226
Analysed days: 19, Interpolated Closest Days: 12, distance 199.072226
Analysed days: 19, Interpolated Closest Days: 13, distance 199.072226
Analysed days: 19, Interpolated Closest Days: 14, distance 199.072226
Analysed days: 19, Interpolated Closest Days: 15, distance 199.072226
Analysed days: 19, Interpolated Closest Days: 16, distance 199.072226
Analysed days: 19, Interpolated Closest Days: 17, distance 199.072226
Analysed days: 19, Interpolated Closest Days: 18, distance 199.072226
Analysed days: 20, Interpolated Closest Days: 12, distance 200.026061
Analysed days: 20, Interpolated Closest Days: 13, distance 200.026061
Analysed days: 20, Interpolated Closest Days: 14, distance 200.026061
Analysed days: 20, Interpolated Closest Days: 15, distance 200.026061
Analysed days: 20, Interpolated Closest Days: 16, distance 200.026061
Analysed days: 20, Interpolated Closest Days: 17, distance 200.026061
Analysed days: 20, Interpolated Closest Days: 18, distance 200.026061
Analysed days: 20, Interpolated Closest Days: 19, distance 200.026061
Analysed days: 28, Interpolated Closest Days: 6, distance 200.698546
Analysed days: 29, Interpolated Closest Days: 6, distance 200.698546
Analysed days: 29, Interpolated Closest Days: 18, distance 201.243372
Analysed days: 29, Interpolated Closest Days: 19, distance 201.243372
Analysed days: 29, Interpolated Closest Days: 20, distance 201.243372
Analysed days: 29, Interpolated Closest Days: 21, distance 201.243372
Analysed days: 29, Interpolated Closest Days: 22, distance 201.243372
Analysed days: 29, Interpolated Closest Days: 23, distance 201.243372
Analysed days: 29, Interpolated Closest Days: 24, distance 201.243372
Analysed days: 29, Interpolated Closest Days: 25, distance 201.243372
Analysed days: 29, Interpolated Closest Days: 26, distance 201.243372
Analysed days: 29, Interpolated Closest Days: 27, distance 201.243372
Analysed days: 29, Interpolated Closest Days: 28, distance 201.243372
Analysed days: 21, Interpolated Closest Days: 10, distance 201.810107
Analysed days: 21, Interpolated Closest Days: 11, distance 202.585785
Analysed days: 17, Interpolated Closest Days: 6, distance 202.790142
Analysed days: 18, Interpolated Closest Days: 6, distance 202.790142
Analysed days: 19, Interpolated Closest Days: 6, distance 202.790142
Analysed days: 28, Interpolated Closest Days: 9, distance 202.991890
Analysed days: 27, Interpolated Closest Days: 7, distance 203.045878
Analysed days: 3, Interpolated Closest Days: 2, distance 203.174090
Analysed days: 4, Interpolated Closest Days: 2, distance 203.174090
Analysed days: 4, Interpolated Closest Days: 3, distance 203.174090
Analysed days: 5, Interpolated Closest Days: 2, distance 203.174090
Analysed days: 5, Interpolated Closest Days: 3, distance 203.174090
Analysed days: 5, Interpolated Closest Days: 4, distance 203.174090
Analysed days: 21, Interpolated Closest Days: 12, distance 203.684178
Analysed days: 20, Interpolated Closest Days: 7, distance 203.792543
Analysed days: 21, Interpolated Closest Days: 7, distance 203.792543
Analysed days: 15, Interpolated Closest Days: 9, distance 203.894194
Analysed days: 15, Interpolated Closest Days: 10, distance 203.894194
Analysed days: 15, Interpolated Closest Days: 11, distance 203.894194
Analysed days: 15, Interpolated Closest Days: 12, distance 203.894194
Analysed days: 15, Interpolated Closest Days: 13, distance 203.894194
Analysed days: 15, Interpolated Closest Days: 14, distance 203.894194
Analysed days: 16, Interpolated Closest Days: 10, distance 204.597042
Analysed days: 16, Interpolated Closest Days: 11, distance 204.597042
Analysed days: 16, Interpolated Closest Days: 12, distance 204.597042
Analysed days: 16, Interpolated Closest Days: 13, distance 204.597042
Analysed days: 16, Interpolated Closest Days: 14, distance 204.597042
Analysed days: 16, Interpolated Closest Days: 15, distance 204.597042
Analysed days: 29, Interpolated Closest Days: 11, distance 204.728442
Analysed days: 9, Interpolated Closest Days: 6, distance 205.589188
Analysed days: 9, Interpolated Closest Days: 7, distance 205.589188
Analysed days: 9, Interpolated Closest Days: 8, distance 205.589188
Analysed days: 10, Interpolated Closest Days: 6, distance 205.589188
Analysed days: 10, Interpolated Closest Days: 7, distance 205.589188
Analysed days: 10, Interpolated Closest Days: 8, distance 205.589188
Analysed days: 10, Interpolated Closest Days: 9, distance 205.589188
Analysed days: 11, Interpolated Closest Days: 6, distance 205.589188
Analysed days: 11, Interpolated Closest Days: 7, distance 205.589188
Analysed days: 11, Interpolated Closest Days: 8, distance 205.589188
Analysed days: 11, Interpolated Closest Days: 9, distance 205.589188
Analysed days: 11, Interpolated Closest Days: 10, distance 205.589188
Analysed days: 12, Interpolated Closest Days: 6, distance 205.589188
Analysed days: 12, Interpolated Closest Days: 7, distance 205.589188
Analysed days: 12, Interpolated Closest Days: 8, distance 205.589188
Analysed days: 12, Interpolated Closest Days: 9, distance 205.589188
Analysed days: 12, Interpolated Closest Days: 10, distance 205.589188
Analysed days: 12, Interpolated Closest Days: 11, distance 205.589188
Analysed days: 28, Interpolated Closest Days: 17, distance 205.793071
Analysed days: 28, Interpolated Closest Days: 18, distance 205.793071
Analysed days: 28, Interpolated Closest Days: 19, distance 205.793071
Analysed days: 28, Interpolated Closest Days: 20, distance 205.793071
Analysed days: 28, Interpolated Closest Days: 21, distance 205.793071
Analysed days: 28, Interpolated Closest Days: 22, distance 205.793071
Analysed days: 28, Interpolated Closest Days: 23, distance 205.793071
Analysed days: 28, Interpolated Closest Days: 24, distance 205.793071
Analysed days: 28, Interpolated Closest Days: 25, distance 205.793071
Analysed days: 28, Interpolated Closest Days: 26, distance 205.793071
Analysed days: 28, Interpolated Closest Days: 27, distance 205.793071
Analysed days: 14, Interpolated Closest Days: 4, distance 206.548425
Analysed days: 13, Interpolated Closest Days: 7, distance 207.113460
Analysed days: 13, Interpolated Closest Days: 8, distance 207.113460
Analysed days: 13, Interpolated Closest Days: 9, distance 207.113460
Analysed days: 13, Interpolated Closest Days: 10, distance 207.113460
Analysed days: 13, Interpolated Closest Days: 11, distance 207.113460
Analysed days: 13, Interpolated Closest Days: 12, distance 207.113460
Analysed days: 27, Interpolated Closest Days: 8, distance 207.959211
Analysed days: 22, Interpolated Closest Days: 14, distance 208.062388
Analysed days: 22, Interpolated Closest Days: 15, distance 208.062388
Analysed days: 22, Interpolated Closest Days: 16, distance 208.062388
Analysed days: 22, Interpolated Closest Days: 17, distance 208.062388
Analysed days: 22, Interpolated Closest Days: 18, distance 208.062388
Analysed days: 22, Interpolated Closest Days: 19, distance 208.062388
Analysed days: 22, Interpolated Closest Days: 20, distance 208.062388
Analysed days: 22, Interpolated Closest Days: 21, distance 208.062388
Analysed days: 22, Interpolated Closest Days: 5, distance 208.142490
Analysed days: 23, Interpolated Closest Days: 5, distance 208.142490
Analysed days: 24, Interpolated Closest Days: 5, distance 208.142490
Analysed days: 25, Interpolated Closest Days: 5, distance 208.142490
Analysed days: 26, Interpolated Closest Days: 5, distance 208.142490
Analysed days: 27, Interpolated Closest Days: 5, distance 208.142490
Analysed days: 27, Interpolated Closest Days: 16, distance 208.658867
Analysed days: 27, Interpolated Closest Days: 17, distance 208.658867
Analysed days: 27, Interpolated Closest Days: 18, distance 208.658867
Analysed days: 27, Interpolated Closest Days: 19, distance 208.658867
Analysed days: 27, Interpolated Closest Days: 20, distance 208.658867
Analysed days: 27, Interpolated Closest Days: 21, distance 208.658867
Analysed days: 27, Interpolated Closest Days: 22, distance 208.658867
Analysed days: 27, Interpolated Closest Days: 23, distance 208.658867
Analysed days: 27, Interpolated Closest Days: 24, distance 208.658867
Analysed days: 27, Interpolated Closest Days: 25, distance 208.658867
Analysed days: 27, Interpolated Closest Days: 26, distance 208.658867
Analysed days: 29, Interpolated Closest Days: 15, distance 208.667716
Analysed days: 29, Interpolated Closest Days: 16, distance 208.835834
Analysed days: 29, Interpolated Closest Days: 17, distance 209.278755
Analysed days: 20, Interpolated Closest Days: 1, distance 210.376506
Analysed days: 21, Interpolated Closest Days: 1, distance 210.376506
Analysed days: 29, Interpolated Closest Days: 12, distance 211.432430
Analysed days: 28, Interpolated Closest Days: 5, distance 211.915289
Analysed days: 29, Interpolated Closest Days: 5, distance 211.915289
Analysed days: 20, Interpolated Closest Days: 10, distance 212.212701
Analysed days: 7, Interpolated Closest Days: 4, distance 212.237032
Analysed days: 7, Interpolated Closest Days: 5, distance 212.237032
Analysed days: 7, Interpolated Closest Days: 6, distance 212.237032
Analysed days: 20, Interpolated Closest Days: 9, distance 212.319609
Analysed days: 21, Interpolated Closest Days: 9, distance 212.319609
Analysed days: 28, Interpolated Closest Days: 10, distance 212.424344
Analysed days: 17, Interpolated Closest Days: 9, distance 212.612649
Analysed days: 18, Interpolated Closest Days: 9, distance 212.612649
Analysed days: 19, Interpolated Closest Days: 9, distance 212.612649
Analysed days: 20, Interpolated Closest Days: 11, distance 212.621797
Analysed days: 17, Interpolated Closest Days: 8, distance 212.796878
Analysed days: 18, Interpolated Closest Days: 8, distance 212.796878
Analysed days: 19, Interpolated Closest Days: 8, distance 212.796878
Analysed days: 17, Interpolated Closest Days: 10, distance 213.025489
Analysed days: 18, Interpolated Closest Days: 10, distance 213.025489
Analysed days: 19, Interpolated Closest Days: 10, distance 213.025489
Analysed days: 22, Interpolated Closest Days: 6, distance 213.395927
Analysed days: 23, Interpolated Closest Days: 6, distance 213.395927
Analysed days: 24, Interpolated Closest Days: 6, distance 213.395927
Analysed days: 25, Interpolated Closest Days: 6, distance 213.395927
Analysed days: 26, Interpolated Closest Days: 6, distance 213.395927
Analysed days: 23, Interpolated Closest Days: 15, distance 213.530673
Analysed days: 23, Interpolated Closest Days: 16, distance 213.530673
Analysed days: 23, Interpolated Closest Days: 17, distance 213.530673
Analysed days: 23, Interpolated Closest Days: 18, distance 213.530673
Analysed days: 23, Interpolated Closest Days: 19, distance 213.530673
Analysed days: 23, Interpolated Closest Days: 20, distance 213.530673
Analysed days: 23, Interpolated Closest Days: 21, distance 213.530673
Analysed days: 23, Interpolated Closest Days: 22, distance 213.530673
Analysed days: 24, Interpolated Closest Days: 15, distance 213.530673
Analysed days: 24, Interpolated Closest Days: 16, distance 213.530673
Analysed days: 24, Interpolated Closest Days: 17, distance 213.530673
Analysed days: 24, Interpolated Closest Days: 18, distance 213.530673
Analysed days: 24, Interpolated Closest Days: 19, distance 213.530673
Analysed days: 24, Interpolated Closest Days: 20, distance 213.530673
Analysed days: 24, Interpolated Closest Days: 21, distance 213.530673
Analysed days: 24, Interpolated Closest Days: 22, distance 213.530673
Analysed days: 24, Interpolated Closest Days: 23, distance 213.530673
Analysed days: 25, Interpolated Closest Days: 15, distance 213.530673
Analysed days: 25, Interpolated Closest Days: 16, distance 213.530673
