Linear Interpolation Prediction for GOOG from 2018-01-25-09:30 to 2018-01-25-10:30

Analysed days: 15, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 16, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 17, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 18, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 19, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 20, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 21, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 22, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 23, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 24, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 25, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 26, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 27, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 28, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 29, Interpolated Closest Days: 1, distance 54.987907
Analysed days: 18, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 19, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 20, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 21, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 22, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 23, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 24, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 25, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 26, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 27, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 28, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 29, Interpolated Closest Days: 2, distance 55.141298
Analysed days: 28, Interpolated Closest Days: 3, distance 58.012670
Analysed days: 29, Interpolated Closest Days: 3, distance 58.012670
Analysed days: 28, Interpolated Closest Days: 4, distance 59.746380
