Linear Interpolation Prediction for PYPL from 2018-01-24-09:30 to 2018-01-24-10:30

Analysed days: 9, Interpolated Closest Days: 2, distance 24.606674
Analysed days: 10, Interpolated Closest Days: 2, distance 24.606674
Analysed days: 11, Interpolated Closest Days: 2, distance 24.606674
Analysed days: 12, Interpolated Closest Days: 2, distance 24.606674
Analysed days: 13, Interpolated Closest Days: 2, distance 24.606674
Analysed days: 3, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 4, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 5, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 6, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 7, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 8, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 9, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 10, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 11, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 12, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 13, Interpolated Closest Days: 1, distance 24.687586
Analysed days: 6, Interpolated Closest Days: 3, distance 24.929135
Analysed days: 6, Interpolated Closest Days: 4, distance 24.929135
Analysed days: 6, Interpolated Closest Days: 5, distance 24.929135
Analysed days: 3, Interpolated Closest Days: 2, distance 25.116107
Analysed days: 4, Interpolated Closest Days: 2, distance 25.116107
Analysed days: 4, Interpolated Closest Days: 3, distance 25.116107
Analysed days: 5, Interpolated Closest Days: 2, distance 25.116107
Analysed days: 5, Interpolated Closest Days: 3, distance 25.116107
Analysed days: 5, Interpolated Closest Days: 4, distance 25.116107
Analysed days: 6, Interpolated Closest Days: 2, distance 25.116107
Analysed days: 7, Interpolated Closest Days: 4, distance 25.689728
Analysed days: 7, Interpolated Closest Days: 5, distance 25.689728
Analysed days: 7, Interpolated Closest Days: 6, distance 25.689728
Analysed days: 2, Interpolated Closest Days: 1, distance 25.707123
Analysed days: 7, Interpolated Closest Days: 3, distance 26.040926
Analysed days: 7, Interpolated Closest Days: 2, distance 26.229078
Analysed days: 29, Interpolated Closest Days: 6, distance 26.321811
Analysed days: 28, Interpolated Closest Days: 5, distance 26.329494
Analysed days: 27, Interpolated Closest Days: 4, distance 26.516875
Analysed days: 29, Interpolated Closest Days: 5, distance 26.731629
Analysed days: 28, Interpolated Closest Days: 4, distance 26.821140
Analysed days: 29, Interpolated Closest Days: 4, distance 26.821140
Analysed days: 27, Interpolated Closest Days: 3, distance 27.228246
Analysed days: 28, Interpolated Closest Days: 3, distance 27.228246
Analysed days: 29, Interpolated Closest Days: 3, distance 27.228246
Analysed days: 14, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 15, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 16, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 17, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 18, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 19, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 20, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 21, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 22, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 23, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 24, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 25, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 26, Interpolated Closest Days: 3, distance 27.414142
Analysed days: 29, Interpolated Closest Days: 11, distance 27.756068
Analysed days: 28, Interpolated Closest Days: 10, distance 27.900595
Analysed days: 29, Interpolated Closest Days: 12, distance 27.992793
Analysed days: 29, Interpolated Closest Days: 10, distance 28.042950
Analysed days: 28, Interpolated Closest Days: 11, distance 28.147705
Analysed days: 27, Interpolated Closest Days: 9, distance 28.179804
Analysed days: 28, Interpolated Closest Days: 9, distance 28.233226
Analysed days: 27, Interpolated Closest Days: 10, distance 28.428155
Analysed days: 29, Interpolated Closest Days: 13, distance 28.483942
Analysed days: 29, Interpolated Closest Days: 15, distance 28.537064
Analysed days: 27, Interpolated Closest Days: 8, distance 28.585479
Analysed days: 28, Interpolated Closest Days: 12, distance 28.671329
Analysed days: 28, Interpolated Closest Days: 14, distance 28.706655
Analysed days: 23, Interpolated Closest Days: 8, distance 28.780596
Analysed days: 24, Interpolated Closest Days: 8, distance 28.780596
Analysed days: 25, Interpolated Closest Days: 8, distance 28.780596
Analysed days: 26, Interpolated Closest Days: 8, distance 28.780596
Analysed days: 14, Interpolated Closest Days: 2, distance 28.832812
Analysed days: 15, Interpolated Closest Days: 2, distance 28.832812
Analysed days: 16, Interpolated Closest Days: 2, distance 28.832812
Analysed days: 17, Interpolated Closest Days: 2, distance 28.832812
Analysed days: 18, Interpolated Closest Days: 2, distance 28.832812
Analysed days: 19, Interpolated Closest Days: 2, distance 28.832812
Analysed days: 20, Interpolated Closest Days: 2, distance 28.832812
