Linear Interpolation Prediction for AMZN from 2018-01-24-09:30 to 2018-01-24-10:30

Analysed days: 29, Interpolated Closest Days: 6, distance 299.572323
Analysed days: 27, Interpolated Closest Days: 4, distance 307.585472
Analysed days: 28, Interpolated Closest Days: 5, distance 311.679340
Analysed days: 29, Interpolated Closest Days: 7, distance 314.078023
Analysed days: 29, Interpolated Closest Days: 5, distance 320.128478
Analysed days: 27, Interpolated Closest Days: 5, distance 326.487234
Analysed days: 28, Interpolated Closest Days: 6, distance 326.761224
Analysed days: 29, Interpolated Closest Days: 8, distance 330.196099
Analysed days: 9, Interpolated Closest Days: 6, distance 339.427445
Analysed days: 9, Interpolated Closest Days: 7, distance 339.427445
Analysed days: 9, Interpolated Closest Days: 8, distance 339.427445
Analysed days: 10, Interpolated Closest Days: 6, distance 339.427445
Analysed days: 10, Interpolated Closest Days: 7, distance 339.427445
Analysed days: 10, Interpolated Closest Days: 8, distance 339.427445
Analysed days: 10, Interpolated Closest Days: 9, distance 339.427445
Analysed days: 11, Interpolated Closest Days: 6, distance 339.427445
Analysed days: 11, Interpolated Closest Days: 7, distance 339.427445
Analysed days: 11, Interpolated Closest Days: 8, distance 339.427445
Analysed days: 11, Interpolated Closest Days: 9, distance 339.427445
Analysed days: 11, Interpolated Closest Days: 10, distance 339.427445
Analysed days: 12, Interpolated Closest Days: 6, distance 339.427445
Analysed days: 12, Interpolated Closest Days: 7, distance 339.427445
Analysed days: 12, Interpolated Closest Days: 8, distance 339.427445
Analysed days: 12, Interpolated Closest Days: 9, distance 339.427445
Analysed days: 12, Interpolated Closest Days: 10, distance 339.427445
Analysed days: 12, Interpolated Closest Days: 11, distance 339.427445
Analysed days: 28, Interpolated Closest Days: 4, distance 340.443958
Analysed days: 29, Interpolated Closest Days: 4, distance 340.443958
Analysed days: 9, Interpolated Closest Days: 3, distance 340.909718
Analysed days: 10, Interpolated Closest Days: 3, distance 340.909718
Analysed days: 11, Interpolated Closest Days: 3, distance 340.909718
Analysed days: 12, Interpolated Closest Days: 3, distance 340.909718
Analysed days: 29, Interpolated Closest Days: 9, distance 342.127582
Analysed days: 29, Interpolated Closest Days: 18, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 19, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 20, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 21, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 22, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 23, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 24, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 25, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 26, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 27, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 28, distance 342.571427
Analysed days: 29, Interpolated Closest Days: 15, distance 342.726235
Analysed days: 28, Interpolated Closest Days: 7, distance 343.490232
Analysed days: 21, Interpolated Closest Days: 3, distance 344.767709
Analysed days: 22, Interpolated Closest Days: 3, distance 344.767709
Analysed days: 23, Interpolated Closest Days: 3, distance 344.767709
Analysed days: 24, Interpolated Closest Days: 3, distance 344.767709
Analysed days: 25, Interpolated Closest Days: 3, distance 344.767709
Analysed days: 26, Interpolated Closest Days: 3, distance 344.767709
Analysed days: 27, Interpolated Closest Days: 3, distance 344.767709
Analysed days: 28, Interpolated Closest Days: 3, distance 344.767709
Analysed days: 29, Interpolated Closest Days: 3, distance 344.767709
Analysed days: 21, Interpolated Closest Days: 2, distance 345.200525
Analysed days: 22, Interpolated Closest Days: 2, distance 345.200525
Analysed days: 23, Interpolated Closest Days: 2, distance 345.200525
Analysed days: 24, Interpolated Closest Days: 2, distance 345.200525
Analysed days: 25, Interpolated Closest Days: 2, distance 345.200525
Analysed days: 26, Interpolated Closest Days: 2, distance 345.200525
Analysed days: 27, Interpolated Closest Days: 2, distance 345.200525
Analysed days: 28, Interpolated Closest Days: 2, distance 345.200525
Analysed days: 29, Interpolated Closest Days: 2, distance 345.200525
Analysed days: 29, Interpolated Closest Days: 17, distance 346.011040
Analysed days: 27, Interpolated Closest Days: 6, distance 346.072270
Analysed days: 29, Interpolated Closest Days: 16, distance 346.339638
Analysed days: 2, Interpolated Closest Days: 1, distance 346.541202
Analysed days: 29, Interpolated Closest Days: 10, distance 347.879709
Analysed days: 29, Interpolated Closest Days: 12, distance 349.175518
Analysed days: 28, Interpolated Closest Days: 17, distance 349.296755
Analysed days: 28, Interpolated Closest Days: 18, distance 349.296755
Analysed days: 28, Interpolated Closest Days: 19, distance 349.296755
Analysed days: 28, Interpolated Closest Days: 20, distance 349.296755
Analysed days: 28, Interpolated Closest Days: 21, distance 349.296755
Analysed days: 28, Interpolated Closest Days: 22, distance 349.296755
