Symbol	Description
00183	CITIC International Financial Holdings Ltd
00184	Keck Seng Investments (Hong Kong) Ltd
00185	China Credit Holdings Ltd
00186	Grande Holdings Ltd
00187	Beiren Printing Machinery Holdings Ltd
00188	SW Kingsway Capital Holdings Ltd
00189	Dongyue Group Ltd
00190	Hong Kong Construction (Holdings) Ltd
00191	Lai Sun Garment (International) Ltd
00193	Capital Estate Ltd
00194	Liu Chong Hing Investment Ltd
00195	Grand Hotel Holdings A
00196	Honghua Group Ltd
00197	Heng Tai Consumables Group Ltd
00198	SMI Corporation Ltd
00199	Macau Prime Properties Holdings Ltd
00200	Melco International Development Ltd
00201	Magnificent Estates Ltd
00202	Interchina Holdings Co. Ltd
00204	China Investment Development
00205	SEEC Media Group Ltd
00206	ITC Corporation Ltd - Preference
00207	Hong Kong Parkview Group Ltd
00208	Polytec Asset Holdings Ltd
00209	Winshine Entertainment & Media
00210	Daphne International
00211	Styland Holdings
00212	Nanyang Holdings Ltd
00213	National Electronics Holdings Ltd
00214	Asia Orient Holdings Ltd
00215	Hutchison Telecommunications
00216	Chinney Investments Ltd
00217	China Chengtong Development Group Ltd
00218	Shenyin Wanguo (H.K.) Ltd
00219	Shun Ho Technology Holdings Ltd
00220	Uni-President China Holdings Ltd
00221	LeRoi Holdings Ltd
00222	Min Xin Holdings Ltd
00223	Kenfair International (Holdings) Ltd
00224	Pioneer Global Group Ltd
00225	Pokfulam Development Co. Ltd
00226	Lippo Ltd
00227	First Shanghai Investments Ltd
00228	Hon Po Group (Lobster King) Ltd
00229	Raymond Industrial Ltd
00230	Minmetals Land
00231	Dynamic Global Holdings Ltd
00232	AVIC International
00233	Mingyuan Medicare Development Co. Ltd
00234	New Century Group Hong Kong Ltd
00235	China Strategic Holdings Ltd
00236	San Miguel Brewery Hong Kong Ltd
00237	Safety Godown Co. Ltd
00238	Lei Shing Hong Ltd
00239	Pak Fah Yeow International Ltd
00240	Build King Holdings Ltd
00241	CITIC 21CN Co. Ltd
00242	Shun Tak Holdings Ltd
00243	QPL International Holdings Ltd
00244	Sincere Co. Ltd
00245	Landune International Ltd
00246	Henderson China Holdings Limtied
00247	Tsim Sha Tsui Properties Ltd
00248	HKC International Holdings Ltd
00250	Sino-i Technology Ltd
00251	S E A Holdings Ltd
00252	Southeast Asia Properties & Finance Ltd
00253	Shun Ho Resources Holdings Ltd
00254	eCyberChina Holdings Ltd
00255	Lung Kee (Bermuda) Holdings Ltd
00256	China Haidian Holdings Ltd
00257	China Everbright International Ltd
00258	Tomson Group Ltd
00259	Yeebo (International Holdings) Ltd
00260	Sino Gas Group Ltd
00261	CCT Tech International Ltd
00262	Deson Development International Holdings Ltd
00263	Poly Investments Holdings Ltd
00264	Chanco International Group Ltd
00265	South China Holdings Ltd
00266	Tian Teck Land Ltd
00267	CITIC Pacific Ltd
00268	Kingdee International Software Group Co. Ltd
00269	Seapower Resources International Ltd
00270	Guangdong Investment Ltd
00271	Dan Form Holdings Co. Ltd
