Symbol	Description
DSBT	DJ US BIOTECHNO
DSBV	DJ US BEVERAGES
DSCA	DJ US GAMBLING
DSCC	DJ US COMMCHEM
DSCF	DJ US CLOTHACCSS
DSCG	DJ US TRAVLEIS
DSCH	DJ US CHEMICALS
DSCL	DJ US COAL
DSCM	DJ US PERSPROD
DSCN	DJ US CONSMATRLS
DSCP	DJ US CTNRS&PKNG
DSCR	DJ US CMPTRHRDWR
DSCS	DJ US SPLTYCNSRV
DSCT	DJ US SEMICONDTR
DSCX	DJ US SPCLTYCHEM
DSCY	DJ US CONSUMSRV
DSDB	DJ US BREWERS
DSDN	DJ US DEFENSE
DSDR	DJ US FDDRGRET
DSDS	DJ US INSUPPLIER
DSDT	U.S. Diversified REITs Index
DSDV	DJ US CMPTRSRV
DSEC	DJ US ELCCOMPEQP
DSEE	DJ US ELECEQUP
DSEH	U.S. Real Estate Holding & Development Index
DSEN	DJ US OIL&GAS
DSES	U.S. Real Estate Services Index
DSEU	DJ US ELECTRCTY
DSFA	DJ US FINADMIN
DSFB	DJ US FOOD&BEV
DSFC	DJ US FXLNTELCM
DSFD	DJ US FOODRTWHSL
DSFE	DJ US INDUSTMACH
DSFH	DJ US FURNISHNG
DSFI	DJ US FINCLSRV
DSFN	DJ US FINANCIALS
DSFO	DJ US FOODPRODRS
DSFP	DJ US FOODPRDCTS
DSFR	DJ US FORESTPAPR
DSFT	DJ US FOOTWEAR
DSFV	U.S. Financial Services Index
DSGF	DJ US GENFINAN
DSGI	DJ US GENINDUST
DSGT	DJ US GENRETAIL
DSGU	DJ US GASDISTRIB
DSHB	DJ US HOMECONS
DSHC	DJ US HLTHCARE
DSHD	DJ US DURHLDPROD
DSHG	DJ US HLDGOODS
DSHI	DJ US HMIMPRETL
DSHL	U.S. Hotel & Lodging REITs Index
DSHN	DJ US NDURHLDPRD
DSHP	DJ US HLTHCRPVDR
DSHR	DJ US COMRVEHTRK
DSHV	DJ US HVYCONS
DSIB	DJ US INSBROKERS
DSID	DJ US DVSFINDUS
DSIF	DJ US FLLINEINS
DSIG	DJ US INDGDS&SRV
DSIL	DJ US LIFEINSUR
DSIM	DJ US INDMETALS
DSIN	DJ US INDSTRIALS
DSIO	U.S. Industrial & Office REITs Index
DSIP	DJ US PROPCASINS
DSIQ	DJ US INDSTENGNG
DSIR	DJ US INSURANCE
DSIS	DJ US SUPPORTSRV
DSIT	DJ US INDSTTRANS
DSIU	DJ US REINSURAN
DSIV	DJ US BUSSUPSRV
DSIX	DJ US NLIFEINSUR
DSLE	DJ US LEISGOODS
DSLG	DJ US HOTELS
DSLW	DJ US LOWCAP
DSMC	DJ US HCREQPSRV
DSME	DJ US MEDIA
DSMF	DJ US MORTGFIN
DSMG	DJ US MINING
DSMR	U.S. Mortgage REITs Index
DSMS	DJ US MDSUPPLIES
DSMT	DJ US MARTRANSPT
DSMU	DJ US MULUTILTES
DSNC	DJ US CONSUMGDS
DSNF	DJ US NONFERMET
DSNG	DJ US PERHLDGDS
DSNS	DJ US INTERNET
DSOE	DJ US ELECOFFEQP
DSOG	DJ US OILGAS
DSOI	DJ US OILEQPSRV
DSOL	DJ US INTGOILGAS
DSOQ	DJ US OILEQPSRV
DSOS	DJ US EXPLPROD
DSPB	DJ US PUBLISHING
DSPC	DJ US WSTDSPSRV
DSPG	DJ US PERSGOODS
DSPL	DJ US PIPELINES
DSPM	DJ US GOLDMNG
DSPN	DJ US PHARMBIO
DSPP	DJ US PAPER
DSPR	DJ US PHARMCTCLS
DSRA	DJ US APPRLRET
DSRB	DJ US BRDLNRET
DSRD	DJ US DRUGRET
DSRE	U.S. Real Estate Index
DSRH	DJ US RESTHLDG
DSRI	DJ US RESTINVTR
DSRL	U.S. Retail REITs Index
DSRN	U.S. Residential REITs Index
DSRP	DJ US RECPRODUCT
DSRQ	DJ US RECSERVICE
DSRR	DJ US RAILROADS
DSRS	DJ US SPLTYRET
DSRT	DJ US RETAIL
DSRU	DJ US RESTRBARS
DSSB	DJ US INVSRV
DSSC	DJ US SEMCNDCTRS
DSSD	DJ US SOFTDRINKS
DSSF	DJ US CONSUMFIN
DSSP	DJ US SPECIALFIN
DSSR	U.S. Specialty REITs Index
DSST	DJ US STEEL
DSSV	DJ US SFTCPTRSRV
DSSW	DJ US SOFTWARE
DSTB	DJ US TOBACCO
DSTC	DJ US TECHNOLOGY
DSTK	DJ US TRUCKING
DSTL	DJ US TELECOM
DSTP	DJ US TOPCAP
DSTQ	DJ US TECHHRDEQ
DSTR	DJ US TIRES
DSTS	DJ US TRANSSRV
DSTT	DJ US TRVLTOUR
DSTY	DJ US TOYS
DSUO	DJ US GASWTRMUT
DSUT	DJ US UTILITIES
DSVE	U.S. Conventional Electricity Index
DSVN	DJ US DISVINTNER
DSWC	DJ US MOBTELECOM
DSWU	DJ US WATER
DTCI	DJ COMPREIT TR
DTEI	DJ EQUITYREIT TR
DTFD	DOW Tran Stocks Above 5-Day Average
DTFI	DOW Tran Stocks Above 50-Day Average
DTFX	CME FX Index
DTOF	DOW Tran Stocks Above 150-Day Average
DTOH	DOW Tran Stocks Above 100-Day Average
DTTH	DOW Tran Stocks Above 200-Day Average
DTTW	DOW Tran Stocks Above 20-Day Average
DTWC	DJ COMPAVGTR
DTWI	DJ INDUS AVG TR
DTWT	DJ TRANSAVGTR
DTWU	DJ UTILITYAVGTR
DUBS	DJ UBS COMMODITY INDEX
DUFD	DOW Util Stocks Above 5-Day Average
DUFI	DOW Util Stocks Above 50-Day Average
