Symbol	Description
GZZ18	Euro/Koruna {Dec 18}
H0	Indian Rupee
H0F19	Indian Rupee {Jan 19}
H0G19	Indian Rupee {Feb 19}
H0H19	Indian Rupee {Mar 19}
H0J19	Indian Rupee {Apr 19}
H0K19	Indian Rupee {May 19}
H0M19	Indian Rupee {Jun 19}
H0N18	Indian Rupee {Jul 18}
H0Q18	Indian Rupee {Aug 18}
H0U18	Indian Rupee {Sep 18}
H0V18	Indian Rupee {Oct 18}
H0X18	Indian Rupee {Nov 18}
H0Z18	Indian Rupee {Dec 18}
H8	Brazilian Real
H8F19	Brazilian Real {Jan 19}
H8F20	Brazilian Real {Jan 20}
H8F21	Brazilian Real {Jan 21}
H8F22	Brazilian Real {Jan 22}
H8F23	Brazilian Real {Jan 23}
H8G19	Brazilian Real {Feb 19}
H8G20	Brazilian Real {Feb 20}
H8G21	Brazilian Real {Feb 21}
H8G22	Brazilian Real {Feb 22}
H8G23	Brazilian Real {Feb 23}
H8H19	Brazilian Real {Mar 19}
H8H20	Brazilian Real {Mar 20}
H8H21	Brazilian Real {Mar 21}
H8H22	Brazilian Real {Mar 22}
H8H23	Brazilian Real {Mar 23}
H8J19	Brazilian Real {Apr 19}
H8J20	Brazilian Real {Apr 20}
H8J21	Brazilian Real {Apr 21}
H8J22	Brazilian Real {Apr 22}
H8J23	Brazilian Real {Apr 23}
H8K19	Brazilian Real {May 19}
H8K20	Brazilian Real {May 20}
H8K21	Brazilian Real {May 21}
H8K22	Brazilian Real {May 22}
H8K23	Brazilian Real {May 23}
H8M19	Brazilian Real {Jun 19}
H8M20	Brazilian Real {Jun 20}
H8M21	Brazilian Real {Jun 21}
H8M22	Brazilian Real {Jun 22}
H8M23	Brazilian Real {Jun 23}
H8N19	Brazilian Real {Jul 19}
H8N20	Brazilian Real {Jul 20}
H8N21	Brazilian Real {Jul 21}
H8N22	Brazilian Real {Jul 22}
H8N23	Brazilian Real {Jul 23}
H8Q18	Brazilian Real {Aug 18}
H8Q19	Brazilian Real {Aug 19}
H8Q20	Brazilian Real {Aug 20}
H8Q21	Brazilian Real {Aug 21}
H8Q22	Brazilian Real {Aug 22}
H8U18	Brazilian Real {Sep 18}
H8U19	Brazilian Real {Sep 19}
H8U20	Brazilian Real {Sep 20}
H8U21	Brazilian Real {Sep 21}
H8U22	Brazilian Real {Sep 22}
H8V18	Brazilian Real {Oct 18}
H8V19	Brazilian Real {Oct 19}
H8V20	Brazilian Real {Oct 20}
H8V21	Brazilian Real {Oct 21}
H8V22	Brazilian Real {Oct 22}
H8X18	Brazilian Real {Nov 18}
