Symbol	Description
CLZ22	Crude Oil WTI {Dec 22}
CLZ23	Crude Oil WTI {Dec 23}
CLZ24	Crude Oil WTI {Dec 24}
CLZ25	Crude Oil WTI {Dec 25}
CLZ26	Crude Oil WTI {Dec 26}
D2.C	Ethanol T2 ROB Continuation
D2F19	Ethanol T2 ROB {Jan 19}
D2G19	Ethanol T2 ROB {Feb 19}
D2H19	Ethanol T2 ROB {Mar 19}
D2J19	Ethanol T2 ROB {Apr 19}
D2K19	Ethanol T2 ROB {May 19}
D2M19	Ethanol T2 ROB {Jun 19}
D2N18	Ethanol T2 ROB {Jul 18}
D2Q18	Ethanol T2 ROB {Aug 18}
D2U18	Ethanol T2 ROB {Sep 18}
D2V18	Ethanol T2 ROB {Oct 18}
D2X18	Ethanol T2 ROB {Nov 18}
D2Z18	Ethanol T2 ROB {Dec 18}
FH.C	Ethanol Swaps-NY Continuation
FHN18	Ethanol Swaps-NY {Jul 18}
FHQ18	Ethanol Swaps-NY {Aug 18}
FHU18	Ethanol Swaps-NY {Sep 18}
FHV18	Ethanol Swaps-NY {Oct 18}
FHX18	Ethanol Swaps-NY {Nov 18}
FHZ18	Ethanol Swaps-NY {Dec 18}
FL.C	Ethanol Swaps-Chgo Continuation
FLF19	Ethanol Swaps-Chgo {Jan 19}
FLG19	Ethanol Swaps-Chgo {Feb 19}
FLH19	Ethanol Swaps-Chgo {Mar 19}
FLJ19	Ethanol Swaps-Chgo {Apr 19}
FLK19	Ethanol Swaps-Chgo {May 19}
FLM19	Ethanol Swaps-Chgo {Jun 19}
FLN18	Ethanol Swaps-Chgo {Jul 18}
FLN19	Ethanol Swaps-Chgo {Jul 19}
FLQ18	Ethanol Swaps-Chgo {Aug 18}
FLU18	Ethanol Swaps-Chgo {Sep 18}
FLU19	Ethanol Swaps-Chgo {Sep 19}
FLV18	Ethanol Swaps-Chgo {Oct 18}
FLX18	Ethanol Swaps-Chgo {Nov 18}
FLZ18	Ethanol Swaps-Chgo {Dec 18}
HH.C	Natural Gas LDay (F) Continuation
