Symbol	Description
FUZ27	Euro Stoxx 50 TR {Dec 27}
FX.C	Euro Stoxx 50 Continuation
FXH19	Euro Stoxx 50 {Mar 19}
FXM19	Euro Stoxx 50 {Jun 19}
FXU18	Euro Stoxx 50 {Sep 18}
FXZ18	Euro Stoxx 50 {Dec 18}
FY.C	Stoxx 600 Continuation
FYH19	Stoxx 600 {Mar 19}
FYU18	Stoxx 600 {Sep 18}
FYZ18	Stoxx 600 {Dec 18}
GG.C	Euro Bund Continuation
GGH19	Euro Bund {Mar 19}
GGU18	Euro Bund {Sep 18}
GGZ18	Euro Bund {Dec 18}
GT.C	Euro OAT Medium-Term Continuation
GTH19	Euro OAT Medium-Term {Mar 19}
GTU18	Euro OAT Medium-Term {Sep 18}
GTZ18	Euro OAT Medium-Term {Dec 18}
GX.C	Euro Buxl Continuation
GXH19	Euro Buxl {Mar 19}
GXU18	Euro Buxl {Sep 18}
GXZ18	Euro Buxl {Dec 18}
HF.C	Euro Schatz Continuation
HFH19	Euro Schatz {Mar 19}
HFU18	Euro Schatz {Sep 18}
HFZ18	Euro Schatz {Dec 18}
HR.C	Euro Bobl Continuation
HRH19	Euro Bobl {Mar 19}
HRU18	Euro Bobl {Sep 18}
HRZ18	Euro Bobl {Dec 18}
IA.C	Euro BTP Short-Term Continuation
IAH19	Euro BTP Short-Term {Mar 19}
IAU18	Euro BTP Short-Term {Sep 18}
IAZ18	Euro BTP Short-Term {Dec 18}
IEH19	Euro Stoxx Utilities {Mar 19}
IEU18	Euro Stoxx Utilities {Sep 18}
IEZ18	Euro Stoxx Utilities {Dec 18}
II.C	Euro BTP Long-Term Continuation
IIH19	Euro BTP Long-Term {Mar 19}
IIU18	Euro BTP Long-Term {Sep 18}
IIZ18	Euro BTP Long-Term {Dec 18}
IZ.C	Euro Bono Long-Term Continuation
IZH19	Euro Bono Long-Term {Mar 19}
IZU18	Euro Bono Long-Term {Sep 18}
IZZ18	Euro Bono Long-Term {Dec 18}
J3.C	Stoxx Euro600 Travel Continuation
J3H19	Stoxx Euro600 Travel {Mar 19}
J3U18	Stoxx Euro600 Travel {Sep 18}
J3Z18	Stoxx Euro600 Travel {Dec 18}
J4.C	Stoxx Euro600 Utilit Continuation
J4H19	Stoxx Euro600 Utilit {Mar 19}
J4U18	Stoxx Euro600 Utilit {Sep 18}
J4Z18	Stoxx Euro600 Utilit {Dec 18}
J5.C	Stoxx Euro600 Telcom Continuation
J5H19	Stoxx Euro600 Telcom {Mar 19}
J5U18	Stoxx Euro600 Telcom {Sep 18}
J5Z18	Stoxx Euro600 Telcom {Dec 18}
JD.C	MSCI Europe Index Continuation
JDH19	MSCI Europe Index {Mar 19}
JDH20	MSCI Europe Index {Mar 20}
JDH21	MSCI Europe Index {Mar 21}
