Linear Interpolation Prediction for BA from 2018-01-25-09:30 to 2018-01-25-10:30

Analysed days: 21, Interpolated Closest Days: 7, distance 13.353282
Analysed days: 21, Interpolated Closest Days: 6, distance 14.195252
Analysed days: 21, Interpolated Closest Days: 8, distance 14.311474
Analysed days: 21, Interpolated Closest Days: 5, distance 14.535448
Analysed days: 21, Interpolated Closest Days: 9, distance 15.066296
Analysed days: 22, Interpolated Closest Days: 8, distance 15.442588
Analysed days: 21, Interpolated Closest Days: 4, distance 16.670298
Analysed days: 22, Interpolated Closest Days: 4, distance 16.670298
Analysed days: 21, Interpolated Closest Days: 3, distance 16.836080
Analysed days: 22, Interpolated Closest Days: 3, distance 16.836080
Analysed days: 22, Interpolated Closest Days: 7, distance 17.794161
Analysed days: 18, Interpolated Closest Days: 6, distance 17.924245
Analysed days: 19, Interpolated Closest Days: 6, distance 17.924245
Analysed days: 20, Interpolated Closest Days: 6, distance 17.924245
Analysed days: 24, Interpolated Closest Days: 4, distance 18.349673
Analysed days: 25, Interpolated Closest Days: 4, distance 18.349673
Analysed days: 26, Interpolated Closest Days: 4, distance 18.349673
Analysed days: 27, Interpolated Closest Days: 4, distance 18.349673
Analysed days: 28, Interpolated Closest Days: 4, distance 18.349673
Analysed days: 22, Interpolated Closest Days: 6, distance 18.881122
Analysed days: 23, Interpolated Closest Days: 9, distance 19.270495
Analysed days: 22, Interpolated Closest Days: 9, distance 19.371938
Analysed days: 23, Interpolated Closest Days: 3, distance 19.463139
Analysed days: 29, Interpolated Closest Days: 3, distance 19.594202
Analysed days: 21, Interpolated Closest Days: 10, distance 19.667880
Analysed days: 17, Interpolated Closest Days: 5, distance 19.750149
Analysed days: 22, Interpolated Closest Days: 10, distance 19.909307
Analysed days: 24, Interpolated Closest Days: 3, distance 20.568366
Analysed days: 25, Interpolated Closest Days: 3, distance 20.568366
Analysed days: 26, Interpolated Closest Days: 3, distance 20.568366
Analysed days: 27, Interpolated Closest Days: 3, distance 20.568366
Analysed days: 28, Interpolated Closest Days: 3, distance 20.568366
Analysed days: 23, Interpolated Closest Days: 4, distance 21.192561
Analysed days: 23, Interpolated Closest Days: 5, distance 21.619711
Analysed days: 29, Interpolated Closest Days: 5, distance 22.090305
Analysed days: 23, Interpolated Closest Days: 8, distance 22.112457
Analysed days: 18, Interpolated Closest Days: 5, distance 22.307085
Analysed days: 19, Interpolated Closest Days: 5, distance 22.307085
Analysed days: 20, Interpolated Closest Days: 5, distance 22.307085
Analysed days: 24, Interpolated Closest Days: 10, distance 23.023501
Analysed days: 25, Interpolated Closest Days: 10, distance 23.023501
Analysed days: 26, Interpolated Closest Days: 10, distance 23.023501
Analysed days: 27, Interpolated Closest Days: 10, distance 23.023501
Analysed days: 23, Interpolated Closest Days: 10, distance 23.126743
