Linear Interpolation Prediction for BA from 2018-01-24-09:30 to 2018-01-24-10:30

Analysed days: 2, Interpolated Closest Days: 1, distance 15.565469
Analysed days: 9, Interpolated Closest Days: 6, distance 22.166017
Analysed days: 9, Interpolated Closest Days: 7, distance 22.166017
Analysed days: 9, Interpolated Closest Days: 8, distance 22.166017
Analysed days: 10, Interpolated Closest Days: 6, distance 22.166017
Analysed days: 10, Interpolated Closest Days: 7, distance 22.166017
Analysed days: 10, Interpolated Closest Days: 8, distance 22.166017
Analysed days: 10, Interpolated Closest Days: 9, distance 22.166017
Analysed days: 11, Interpolated Closest Days: 6, distance 22.166017
Analysed days: 11, Interpolated Closest Days: 7, distance 22.166017
Analysed days: 11, Interpolated Closest Days: 8, distance 22.166017
Analysed days: 11, Interpolated Closest Days: 9, distance 22.166017
Analysed days: 11, Interpolated Closest Days: 10, distance 22.166017
Analysed days: 12, Interpolated Closest Days: 6, distance 22.166017
Analysed days: 12, Interpolated Closest Days: 7, distance 22.166017
Analysed days: 12, Interpolated Closest Days: 8, distance 22.166017
Analysed days: 12, Interpolated Closest Days: 9, distance 22.166017
Analysed days: 12, Interpolated Closest Days: 10, distance 22.166017
Analysed days: 12, Interpolated Closest Days: 11, distance 22.166017
Analysed days: 7, Interpolated Closest Days: 4, distance 22.606433
Analysed days: 7, Interpolated Closest Days: 5, distance 22.606433
Analysed days: 7, Interpolated Closest Days: 6, distance 22.606433
Analysed days: 8, Interpolated Closest Days: 4, distance 22.606433
Analysed days: 9, Interpolated Closest Days: 4, distance 22.606433
Analysed days: 10, Interpolated Closest Days: 4, distance 22.606433
Analysed days: 11, Interpolated Closest Days: 4, distance 22.606433
Analysed days: 12, Interpolated Closest Days: 4, distance 22.606433
Analysed days: 23, Interpolated Closest Days: 1, distance 24.381193
Analysed days: 24, Interpolated Closest Days: 1, distance 24.381193
Analysed days: 25, Interpolated Closest Days: 1, distance 24.381193
Analysed days: 26, Interpolated Closest Days: 1, distance 24.381193
Analysed days: 27, Interpolated Closest Days: 1, distance 24.381193
Analysed days: 28, Interpolated Closest Days: 1, distance 24.381193
Analysed days: 29, Interpolated Closest Days: 1, distance 24.381193
Analysed days: 13, Interpolated Closest Days: 7, distance 27.512653
Analysed days: 13, Interpolated Closest Days: 8, distance 27.512653
Analysed days: 13, Interpolated Closest Days: 9, distance 27.512653
Analysed days: 13, Interpolated Closest Days: 10, distance 27.512653
Analysed days: 13, Interpolated Closest Days: 11, distance 27.512653
Analysed days: 13, Interpolated Closest Days: 12, distance 27.512653
Analysed days: 13, Interpolated Closest Days: 5, distance 29.025601
Analysed days: 6, Interpolated Closest Days: 3, distance 31.721251
Analysed days: 6, Interpolated Closest Days: 4, distance 31.721251
Analysed days: 6, Interpolated Closest Days: 5, distance 31.721251
Analysed days: 7, Interpolated Closest Days: 3, distance 31.721251
Analysed days: 8, Interpolated Closest Days: 3, distance 31.721251
Analysed days: 9, Interpolated Closest Days: 3, distance 31.721251
Analysed days: 10, Interpolated Closest Days: 3, distance 31.721251
Analysed days: 11, Interpolated Closest Days: 3, distance 31.721251
Analysed days: 12, Interpolated Closest Days: 3, distance 31.721251
Analysed days: 14, Interpolated Closest Days: 8, distance 33.049491
Analysed days: 14, Interpolated Closest Days: 9, distance 33.049491
Analysed days: 14, Interpolated Closest Days: 10, distance 33.049491
Analysed days: 14, Interpolated Closest Days: 11, distance 33.049491
Analysed days: 14, Interpolated Closest Days: 12, distance 33.049491
Analysed days: 14, Interpolated Closest Days: 13, distance 33.049491
Analysed days: 14, Interpolated Closest Days: 6, distance 35.656019
Analysed days: 13, Interpolated Closest Days: 4, distance 38.019015
Analysed days: 8, Interpolated Closest Days: 5, distance 38.178140
Analysed days: 8, Interpolated Closest Days: 6, distance 38.178140
Analysed days: 8, Interpolated Closest Days: 7, distance 38.178140
Analysed days: 9, Interpolated Closest Days: 5, distance 38.178140
Analysed days: 10, Interpolated Closest Days: 5, distance 38.178140
Analysed days: 11, Interpolated Closest Days: 5, distance 38.178140
Analysed days: 12, Interpolated Closest Days: 5, distance 38.178140
Analysed days: 15, Interpolated Closest Days: 9, distance 40.376878
Analysed days: 15, Interpolated Closest Days: 10, distance 40.376878
Analysed days: 15, Interpolated Closest Days: 11, distance 40.376878
Analysed days: 15, Interpolated Closest Days: 12, distance 40.376878
Analysed days: 15, Interpolated Closest Days: 13, distance 40.376878
Analysed days: 15, Interpolated Closest Days: 14, distance 40.376878
Analysed days: 13, Interpolated Closest Days: 6, distance 41.818603
Analysed days: 14, Interpolated Closest Days: 5, distance 43.897783
Analysed days: 15, Interpolated Closest Days: 7, distance 44.153921
Analysed days: 14, Interpolated Closest Days: 7, distance 45.720311
Analysed days: 29, Interpolated Closest Days: 7, distance 46.277392
Analysed days: 16, Interpolated Closest Days: 10, distance 47.640990
Analysed days: 16, Interpolated Closest Days: 11, distance 47.640990
Analysed days: 16, Interpolated Closest Days: 12, distance 47.640990
Analysed days: 16, Interpolated Closest Days: 13, distance 47.640990
Analysed days: 16, Interpolated Closest Days: 14, distance 47.640990
Analysed days: 16, Interpolated Closest Days: 15, distance 47.640990
Analysed days: 3, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 4, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 4, Interpolated Closest Days: 3, distance 48.363422
Analysed days: 5, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 5, Interpolated Closest Days: 3, distance 48.363422
Analysed days: 5, Interpolated Closest Days: 4, distance 48.363422
Analysed days: 6, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 7, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 8, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 9, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 10, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 11, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 12, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 13, Interpolated Closest Days: 2, distance 48.363422
Analysed days: 29, Interpolated Closest Days: 18, distance 48.758795
Analysed days: 29, Interpolated Closest Days: 19, distance 48.758795
Analysed days: 29, Interpolated Closest Days: 20, distance 48.758795
Analysed days: 29, Interpolated Closest Days: 21, distance 48.758795
Analysed days: 29, Interpolated Closest Days: 22, distance 48.758795
Analysed days: 29, Interpolated Closest Days: 23, distance 48.758795
