Linear Interpolation Prediction for WEED.TO from 2018-01-26-09:30 to 2018-01-26-10:30

Analysed days: 25, Interpolated Closest Days: 15, distance 9.037159
Analysed days: 26, Interpolated Closest Days: 15, distance 9.037159
Analysed days: 27, Interpolated Closest Days: 15, distance 9.037159
Analysed days: 28, Interpolated Closest Days: 15, distance 9.037159
Analysed days: 25, Interpolated Closest Days: 14, distance 9.085665
Analysed days: 26, Interpolated Closest Days: 14, distance 9.085665
Analysed days: 27, Interpolated Closest Days: 14, distance 9.085665
Analysed days: 28, Interpolated Closest Days: 14, distance 9.085665
Analysed days: 25, Interpolated Closest Days: 18, distance 9.300623
Analysed days: 25, Interpolated Closest Days: 19, distance 9.300623
Analysed days: 25, Interpolated Closest Days: 20, distance 9.300623
Analysed days: 25, Interpolated Closest Days: 21, distance 9.300623
Analysed days: 25, Interpolated Closest Days: 22, distance 9.300623
Analysed days: 25, Interpolated Closest Days: 23, distance 9.300623
Analysed days: 25, Interpolated Closest Days: 24, distance 9.300623
Analysed days: 26, Interpolated Closest Days: 18, distance 9.300623
Analysed days: 26, Interpolated Closest Days: 19, distance 9.300623
Analysed days: 26, Interpolated Closest Days: 20, distance 9.300623
Analysed days: 26, Interpolated Closest Days: 21, distance 9.300623
Analysed days: 26, Interpolated Closest Days: 22, distance 9.300623
Analysed days: 26, Interpolated Closest Days: 23, distance 9.300623
Analysed days: 26, Interpolated Closest Days: 24, distance 9.300623
Analysed days: 26, Interpolated Closest Days: 25, distance 9.300623
Analysed days: 27, Interpolated Closest Days: 18, distance 9.300623
Analysed days: 27, Interpolated Closest Days: 19, distance 9.300623
Analysed days: 27, Interpolated Closest Days: 20, distance 9.300623
Analysed days: 27, Interpolated Closest Days: 21, distance 9.300623
Analysed days: 27, Interpolated Closest Days: 22, distance 9.300623
Analysed days: 27, Interpolated Closest Days: 23, distance 9.300623
Analysed days: 27, Interpolated Closest Days: 24, distance 9.300623
Analysed days: 27, Interpolated Closest Days: 25, distance 9.300623
Analysed days: 27, Interpolated Closest Days: 26, distance 9.300623
Analysed days: 28, Interpolated Closest Days: 18, distance 9.300623
Analysed days: 28, Interpolated Closest Days: 19, distance 9.300623
Analysed days: 28, Interpolated Closest Days: 20, distance 9.300623
Analysed days: 28, Interpolated Closest Days: 21, distance 9.300623
Analysed days: 28, Interpolated Closest Days: 22, distance 9.300623
Analysed days: 28, Interpolated Closest Days: 23, distance 9.300623
Analysed days: 28, Interpolated Closest Days: 24, distance 9.300623
Analysed days: 28, Interpolated Closest Days: 25, distance 9.300623
Analysed days: 28, Interpolated Closest Days: 26, distance 9.300623
Analysed days: 28, Interpolated Closest Days: 27, distance 9.300623
Analysed days: 8, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 9, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 10, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 11, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 12, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 13, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 14, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 15, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 16, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 17, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 18, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 19, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 20, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 21, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 22, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 23, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 24, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 25, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 26, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 27, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 28, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 29, Interpolated Closest Days: 1, distance 9.660312
Analysed days: 25, Interpolated Closest Days: 13, distance 9.668895
Analysed days: 26, Interpolated Closest Days: 13, distance 9.668895
Analysed days: 27, Interpolated Closest Days: 13, distance 9.668895
Analysed days: 28, Interpolated Closest Days: 13, distance 9.668895
Analysed days: 25, Interpolated Closest Days: 17, distance 9.886154
Analysed days: 26, Interpolated Closest Days: 17, distance 9.886154
Analysed days: 27, Interpolated Closest Days: 17, distance 9.886154
Analysed days: 28, Interpolated Closest Days: 17, distance 9.886154
Analysed days: 24, Interpolated Closest Days: 14, distance 10.070997
Analysed days: 24, Interpolated Closest Days: 13, distance 10.185015
Analysed days: 24, Interpolated Closest Days: 17, distance 10.233178
Analysed days: 24, Interpolated Closest Days: 18, distance 10.233178
Analysed days: 24, Interpolated Closest Days: 19, distance 10.233178
Analysed days: 24, Interpolated Closest Days: 20, distance 10.233178
Analysed days: 24, Interpolated Closest Days: 21, distance 10.233178
Analysed days: 24, Interpolated Closest Days: 22, distance 10.233178
Analysed days: 24, Interpolated Closest Days: 23, distance 10.233178
Analysed days: 25, Interpolated Closest Days: 16, distance 10.243025
Analysed days: 26, Interpolated Closest Days: 16, distance 10.243025
Analysed days: 27, Interpolated Closest Days: 16, distance 10.243025
Analysed days: 28, Interpolated Closest Days: 16, distance 10.243025
Analysed days: 23, Interpolated Closest Days: 13, distance 10.365432
Analysed days: 23, Interpolated Closest Days: 16, distance 10.479025
Analysed days: 23, Interpolated Closest Days: 17, distance 10.479025
Analysed days: 23, Interpolated Closest Days: 18, distance 10.479025
Analysed days: 23, Interpolated Closest Days: 19, distance 10.479025
Analysed days: 23, Interpolated Closest Days: 20, distance 10.479025
Analysed days: 23, Interpolated Closest Days: 21, distance 10.479025
Analysed days: 23, Interpolated Closest Days: 22, distance 10.479025
Analysed days: 23, Interpolated Closest Days: 12, distance 10.512552
Analysed days: 24, Interpolated Closest Days: 10, distance 10.766115
Analysed days: 25, Interpolated Closest Days: 10, distance 10.766115
Analysed days: 26, Interpolated Closest Days: 10, distance 10.766115
Analysed days: 27, Interpolated Closest Days: 10, distance 10.766115
Analysed days: 28, Interpolated Closest Days: 10, distance 10.766115
Analysed days: 24, Interpolated Closest Days: 16, distance 10.893010
Analysed days: 24, Interpolated Closest Days: 12, distance 10.965865
Analysed days: 25, Interpolated Closest Days: 12, distance 10.965865
Analysed days: 26, Interpolated Closest Days: 12, distance 10.965865
Analysed days: 27, Interpolated Closest Days: 12, distance 10.965865
Analysed days: 28, Interpolated Closest Days: 12, distance 10.965865
Analysed days: 22, Interpolated Closest Days: 12, distance 11.134297
Analysed days: 23, Interpolated Closest Days: 15, distance 11.166573
Analysed days: 19, Interpolated Closest Days: 9, distance 11.184575
Analysed days: 20, Interpolated Closest Days: 9, distance 11.184575
Analysed days: 21, Interpolated Closest Days: 9, distance 11.184575
Analysed days: 22, Interpolated Closest Days: 9, distance 11.184575
Analysed days: 23, Interpolated Closest Days: 9, distance 11.184575
Analysed days: 22, Interpolated Closest Days: 15, distance 11.188602
Analysed days: 22, Interpolated Closest Days: 16, distance 11.188602
Analysed days: 22, Interpolated Closest Days: 17, distance 11.188602
Analysed days: 22, Interpolated Closest Days: 18, distance 11.188602
Analysed days: 22, Interpolated Closest Days: 19, distance 11.188602
Analysed days: 22, Interpolated Closest Days: 20, distance 11.188602
Analysed days: 22, Interpolated Closest Days: 21, distance 11.188602
Analysed days: 24, Interpolated Closest Days: 15, distance 11.322399
Analysed days: 22, Interpolated Closest Days: 11, distance 11.346849
Analysed days: 23, Interpolated Closest Days: 11, distance 11.346849
Analysed days: 24, Interpolated Closest Days: 6, distance 11.418434
Analysed days: 25, Interpolated Closest Days: 6, distance 11.418434
Analysed days: 26, Interpolated Closest Days: 6, distance 11.418434
Analysed days: 27, Interpolated Closest Days: 6, distance 11.418434
Analysed days: 28, Interpolated Closest Days: 6, distance 11.418434
Analysed days: 29, Interpolated Closest Days: 6, distance 11.418434
Analysed days: 29, Interpolated Closest Days: 19, distance 11.532873
Analysed days: 29, Interpolated Closest Days: 20, distance 11.532873
Analysed days: 29, Interpolated Closest Days: 21, distance 11.532873
Analysed days: 29, Interpolated Closest Days: 22, distance 11.532873
Analysed days: 29, Interpolated Closest Days: 23, distance 11.532873
Analysed days: 29, Interpolated Closest Days: 24, distance 11.532873
Analysed days: 29, Interpolated Closest Days: 25, distance 11.532873
Analysed days: 29, Interpolated Closest Days: 26, distance 11.532873
Analysed days: 29, Interpolated Closest Days: 27, distance 11.532873
Analysed days: 29, Interpolated Closest Days: 28, distance 11.532873
Analysed days: 29, Interpolated Closest Days: 16, distance 11.540268
Analysed days: 23, Interpolated Closest Days: 14, distance 11.652081
Analysed days: 24, Interpolated Closest Days: 5, distance 11.700490
