Linear Interpolation Prediction for CELG from 2018-01-25-09:30 to 2018-01-25-10:30

Analysed days: 14, Interpolated Closest Days: 1, distance 29.334433
Analysed days: 15, Interpolated Closest Days: 1, distance 29.334433
Analysed days: 24, Interpolated Closest Days: 3, distance 33.860901
Analysed days: 25, Interpolated Closest Days: 3, distance 33.860901
Analysed days: 26, Interpolated Closest Days: 3, distance 33.860901
Analysed days: 27, Interpolated Closest Days: 3, distance 33.860901
Analysed days: 28, Interpolated Closest Days: 3, distance 33.860901
Analysed days: 29, Interpolated Closest Days: 3, distance 33.860901
Analysed days: 29, Interpolated Closest Days: 6, distance 33.952799
Analysed days: 24, Interpolated Closest Days: 5, distance 34.422531
Analysed days: 25, Interpolated Closest Days: 5, distance 34.422531
Analysed days: 26, Interpolated Closest Days: 5, distance 34.422531
Analysed days: 27, Interpolated Closest Days: 5, distance 34.422531
Analysed days: 28, Interpolated Closest Days: 5, distance 34.422531
Analysed days: 29, Interpolated Closest Days: 5, distance 34.422531
Analysed days: 23, Interpolated Closest Days: 4, distance 35.600220
Analysed days: 16, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 17, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 18, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 19, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 20, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 21, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 22, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 23, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 24, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 25, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 26, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 27, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 28, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 29, Interpolated Closest Days: 2, distance 35.894421
Analysed days: 24, Interpolated Closest Days: 4, distance 36.631668
Analysed days: 25, Interpolated Closest Days: 4, distance 36.631668
Analysed days: 26, Interpolated Closest Days: 4, distance 36.631668
Analysed days: 27, Interpolated Closest Days: 4, distance 36.631668
Analysed days: 28, Interpolated Closest Days: 4, distance 36.631668
Analysed days: 29, Interpolated Closest Days: 4, distance 36.631668
Analysed days: 15, Interpolated Closest Days: 2, distance 37.078169
