Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
NEE,225.46,2019/09/23,15:29 EDT,-0.2599945,225.44,226.46,224.86,1003672,,224.38,150.0,,,,
LMT,388.62,2019/09/23,15:29 EDT,0.36999512,388.07,390.06,386.11,817967,,394.24,100.0,,,,
