Linear Interpolation Prediction for BABA from 2018-01-25-09:30 to 2018-01-25-10:30

Analysed days: 4, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 5, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 6, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 7, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 8, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 9, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 10, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 11, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 12, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 13, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 14, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 15, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 16, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 17, Interpolated Closest Days: 1, distance 20.537754
Analysed days: 9, Interpolated Closest Days: 3, distance 24.427040
Analysed days: 28, Interpolated Closest Days: 2, distance 29.498620
Analysed days: 21, Interpolated Closest Days: 1, distance 29.994558
Analysed days: 22, Interpolated Closest Days: 1, distance 29.994558
Analysed days: 23, Interpolated Closest Days: 1, distance 29.994558
Analysed days: 24, Interpolated Closest Days: 1, distance 29.994558
Analysed days: 25, Interpolated Closest Days: 1, distance 29.994558
Analysed days: 26, Interpolated Closest Days: 1, distance 29.994558
Analysed days: 27, Interpolated Closest Days: 1, distance 29.994558
Analysed days: 28, Interpolated Closest Days: 1, distance 29.994558
Analysed days: 29, Interpolated Closest Days: 1, distance 29.994558
Analysed days: 28, Interpolated Closest Days: 7, distance 32.508791
Analysed days: 24, Interpolated Closest Days: 6, distance 32.965110
Analysed days: 25, Interpolated Closest Days: 6, distance 32.965110
Analysed days: 26, Interpolated Closest Days: 6, distance 32.965110
Analysed days: 27, Interpolated Closest Days: 6, distance 32.965110
Analysed days: 29, Interpolated Closest Days: 3, distance 33.656690
Analysed days: 7, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 8, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 9, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 10, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 11, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 12, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 13, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 14, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 15, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 16, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 17, Interpolated Closest Days: 2, distance 33.688837
Analysed days: 29, Interpolated Closest Days: 8, distance 33.778215
Analysed days: 28, Interpolated Closest Days: 4, distance 35.566743
Analysed days: 29, Interpolated Closest Days: 2, distance 35.568349
Analysed days: 28, Interpolated Closest Days: 8, distance 35.678273
Analysed days: 9, Interpolated Closest Days: 6, distance 36.173707
Analysed days: 9, Interpolated Closest Days: 7, distance 36.173707
Analysed days: 9, Interpolated Closest Days: 8, distance 36.173707
Analysed days: 29, Interpolated Closest Days: 9, distance 36.462017
Analysed days: 24, Interpolated Closest Days: 7, distance 36.534758
Analysed days: 25, Interpolated Closest Days: 7, distance 36.534758
Analysed days: 26, Interpolated Closest Days: 7, distance 36.534758
Analysed days: 27, Interpolated Closest Days: 7, distance 36.534758
Analysed days: 29, Interpolated Closest Days: 5, distance 36.944368
Analysed days: 21, Interpolated Closest Days: 3, distance 37.474225
Analysed days: 22, Interpolated Closest Days: 3, distance 37.474225
Analysed days: 23, Interpolated Closest Days: 3, distance 37.474225
Analysed days: 24, Interpolated Closest Days: 3, distance 37.474225
Analysed days: 25, Interpolated Closest Days: 3, distance 37.474225
Analysed days: 26, Interpolated Closest Days: 3, distance 37.474225
Analysed days: 27, Interpolated Closest Days: 3, distance 37.474225
Analysed days: 28, Interpolated Closest Days: 5, distance 37.899820
Analysed days: 29, Interpolated Closest Days: 6, distance 38.670324
Analysed days: 21, Interpolated Closest Days: 4, distance 39.917510
Analysed days: 22, Interpolated Closest Days: 4, distance 39.917510
Analysed days: 23, Interpolated Closest Days: 4, distance 39.917510
Analysed days: 24, Interpolated Closest Days: 4, distance 39.917510
Analysed days: 25, Interpolated Closest Days: 4, distance 39.917510
Analysed days: 26, Interpolated Closest Days: 4, distance 39.917510
Analysed days: 27, Interpolated Closest Days: 4, distance 39.917510
Analysed days: 28, Interpolated Closest Days: 3, distance 40.657757
Analysed days: 28, Interpolated Closest Days: 6, distance 40.807188
Analysed days: 9, Interpolated Closest Days: 5, distance 40.847072
Analysed days: 29, Interpolated Closest Days: 7, distance 41.056579
Analysed days: 29, Interpolated Closest Days: 4, distance 41.104565
Analysed days: 14, Interpolated Closest Days: 3, distance 41.154436
Analysed days: 15, Interpolated Closest Days: 3, distance 41.154436
Analysed days: 16, Interpolated Closest Days: 3, distance 41.154436
Analysed days: 17, Interpolated Closest Days: 3, distance 41.154436
Analysed days: 9, Interpolated Closest Days: 4, distance 41.158572
Analysed days: 28, Interpolated Closest Days: 10, distance 41.536048
Analysed days: 29, Interpolated Closest Days: 11, distance 41.628866
Analysed days: 18, Interpolated Closest Days: 2, distance 42.287954
Analysed days: 19, Interpolated Closest Days: 2, distance 42.287954
Analysed days: 20, Interpolated Closest Days: 2, distance 42.287954
Analysed days: 4, Interpolated Closest Days: 3, distance 42.307389
Analysed days: 5, Interpolated Closest Days: 3, distance 42.307389
Analysed days: 5, Interpolated Closest Days: 4, distance 42.307389
Analysed days: 6, Interpolated Closest Days: 3, distance 42.307389
Analysed days: 6, Interpolated Closest Days: 4, distance 42.307389
Analysed days: 6, Interpolated Closest Days: 5, distance 42.307389
Analysed days: 29, Interpolated Closest Days: 12, distance 42.617363
Analysed days: 28, Interpolated Closest Days: 11, distance 42.627415
Analysed days: 24, Interpolated Closest Days: 9, distance 42.866878
Analysed days: 25, Interpolated Closest Days: 9, distance 42.866878
Analysed days: 26, Interpolated Closest Days: 9, distance 42.866878
Analysed days: 27, Interpolated Closest Days: 9, distance 42.866878
Analysed days: 8, Interpolated Closest Days: 5, distance 42.969729
Analysed days: 8, Interpolated Closest Days: 6, distance 42.969729
Analysed days: 8, Interpolated Closest Days: 7, distance 42.969729
Analysed days: 21, Interpolated Closest Days: 5, distance 42.989903
Analysed days: 22, Interpolated Closest Days: 5, distance 42.989903
Analysed days: 23, Interpolated Closest Days: 5, distance 42.989903
Analysed days: 24, Interpolated Closest Days: 5, distance 42.989903
Analysed days: 25, Interpolated Closest Days: 5, distance 42.989903
Analysed days: 26, Interpolated Closest Days: 5, distance 42.989903
Analysed days: 27, Interpolated Closest Days: 5, distance 42.989903
Analysed days: 29, Interpolated Closest Days: 18, distance 43.152085
Analysed days: 29, Interpolated Closest Days: 19, distance 43.152085
Analysed days: 29, Interpolated Closest Days: 20, distance 43.152085
Analysed days: 29, Interpolated Closest Days: 21, distance 43.152085
Analysed days: 29, Interpolated Closest Days: 22, distance 43.152085
Analysed days: 29, Interpolated Closest Days: 23, distance 43.152085
Analysed days: 29, Interpolated Closest Days: 24, distance 43.152085
