Linear Interpolation Prediction for SFTBY from 2018-01-24-09:30 to 2018-01-24-10:30

Analysed days: 22, Interpolated Closest Days: 1, distance 2.050089
Analysed days: 23, Interpolated Closest Days: 1, distance 2.050089
Analysed days: 24, Interpolated Closest Days: 1, distance 2.050089
Analysed days: 25, Interpolated Closest Days: 1, distance 2.050089
Analysed days: 26, Interpolated Closest Days: 1, distance 2.050089
Analysed days: 27, Interpolated Closest Days: 1, distance 2.050089
Analysed days: 28, Interpolated Closest Days: 1, distance 2.050089
Analysed days: 29, Interpolated Closest Days: 1, distance 2.050089
Analysed days: 9, Interpolated Closest Days: 6, distance 2.495926
Analysed days: 9, Interpolated Closest Days: 7, distance 2.495926
Analysed days: 9, Interpolated Closest Days: 8, distance 2.495926
Analysed days: 10, Interpolated Closest Days: 6, distance 2.495926
Analysed days: 10, Interpolated Closest Days: 7, distance 2.495926
Analysed days: 10, Interpolated Closest Days: 8, distance 2.495926
Analysed days: 10, Interpolated Closest Days: 9, distance 2.495926
Analysed days: 11, Interpolated Closest Days: 6, distance 2.495926
Analysed days: 11, Interpolated Closest Days: 7, distance 2.495926
Analysed days: 11, Interpolated Closest Days: 8, distance 2.495926
Analysed days: 11, Interpolated Closest Days: 9, distance 2.495926
Analysed days: 11, Interpolated Closest Days: 10, distance 2.495926
Analysed days: 12, Interpolated Closest Days: 6, distance 2.495926
Analysed days: 12, Interpolated Closest Days: 7, distance 2.495926
Analysed days: 12, Interpolated Closest Days: 8, distance 2.495926
Analysed days: 12, Interpolated Closest Days: 9, distance 2.495926
Analysed days: 12, Interpolated Closest Days: 10, distance 2.495926
Analysed days: 12, Interpolated Closest Days: 11, distance 2.495926
Analysed days: 9, Interpolated Closest Days: 5, distance 2.584806
Analysed days: 10, Interpolated Closest Days: 5, distance 2.584806
Analysed days: 11, Interpolated Closest Days: 5, distance 2.584806
Analysed days: 12, Interpolated Closest Days: 5, distance 2.584806
Analysed days: 22, Interpolated Closest Days: 3, distance 2.753446
Analysed days: 23, Interpolated Closest Days: 3, distance 2.753446
Analysed days: 24, Interpolated Closest Days: 3, distance 2.753446
Analysed days: 25, Interpolated Closest Days: 3, distance 2.753446
Analysed days: 26, Interpolated Closest Days: 3, distance 2.753446
Analysed days: 27, Interpolated Closest Days: 3, distance 2.753446
Analysed days: 28, Interpolated Closest Days: 3, distance 2.753446
Analysed days: 29, Interpolated Closest Days: 3, distance 2.753446
Analysed days: 22, Interpolated Closest Days: 2, distance 2.754697
Analysed days: 23, Interpolated Closest Days: 2, distance 2.754697
