Linear Interpolation Prediction for C from 2018-01-24-09:30 to 2018-01-24-10:30

Analysed days: 28, Interpolated Closest Days: 1, distance 3.475106
Analysed days: 29, Interpolated Closest Days: 1, distance 3.475106
Analysed days: 9, Interpolated Closest Days: 5, distance 3.513867
Analysed days: 10, Interpolated Closest Days: 5, distance 3.513867
Analysed days: 11, Interpolated Closest Days: 5, distance 3.513867
Analysed days: 12, Interpolated Closest Days: 5, distance 3.513867
Analysed days: 14, Interpolated Closest Days: 2, distance 3.599929
Analysed days: 15, Interpolated Closest Days: 2, distance 3.599929
Analysed days: 6, Interpolated Closest Days: 2, distance 3.699555
Analysed days: 7, Interpolated Closest Days: 2, distance 3.699555
Analysed days: 8, Interpolated Closest Days: 2, distance 3.699555
Analysed days: 9, Interpolated Closest Days: 2, distance 3.699555
Analysed days: 10, Interpolated Closest Days: 2, distance 3.699555
Analysed days: 11, Interpolated Closest Days: 2, distance 3.699555
Analysed days: 12, Interpolated Closest Days: 2, distance 3.699555
Analysed days: 13, Interpolated Closest Days: 2, distance 3.699555
Analysed days: 14, Interpolated Closest Days: 4, distance 3.756791
Analysed days: 15, Interpolated Closest Days: 4, distance 3.756791
Analysed days: 14, Interpolated Closest Days: 3, distance 3.763410
Analysed days: 15, Interpolated Closest Days: 3, distance 3.763410
Analysed days: 7, Interpolated Closest Days: 4, distance 3.813769
Analysed days: 7, Interpolated Closest Days: 5, distance 3.813769
Analysed days: 7, Interpolated Closest Days: 6, distance 3.813769
Analysed days: 8, Interpolated Closest Days: 4, distance 3.813769
Analysed days: 9, Interpolated Closest Days: 4, distance 3.813769
Analysed days: 10, Interpolated Closest Days: 4, distance 3.813769
Analysed days: 11, Interpolated Closest Days: 4, distance 3.813769
Analysed days: 12, Interpolated Closest Days: 4, distance 3.813769
Analysed days: 14, Interpolated Closest Days: 7, distance 3.826658
Analysed days: 16, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 17, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 18, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 19, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 20, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 21, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 22, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 23, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 24, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 25, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 26, Interpolated Closest Days: 4, distance 3.912246
Analysed days: 9, Interpolated Closest Days: 6, distance 3.927186
Analysed days: 9, Interpolated Closest Days: 7, distance 3.927186
Analysed days: 9, Interpolated Closest Days: 8, distance 3.927186
Analysed days: 10, Interpolated Closest Days: 6, distance 3.927186
Analysed days: 10, Interpolated Closest Days: 7, distance 3.927186
Analysed days: 10, Interpolated Closest Days: 8, distance 3.927186
Analysed days: 10, Interpolated Closest Days: 9, distance 3.927186
Analysed days: 11, Interpolated Closest Days: 6, distance 3.927186
Analysed days: 11, Interpolated Closest Days: 7, distance 3.927186
Analysed days: 11, Interpolated Closest Days: 8, distance 3.927186
Analysed days: 11, Interpolated Closest Days: 9, distance 3.927186
Analysed days: 11, Interpolated Closest Days: 10, distance 3.927186
Analysed days: 12, Interpolated Closest Days: 6, distance 3.927186
Analysed days: 12, Interpolated Closest Days: 7, distance 3.927186
Analysed days: 12, Interpolated Closest Days: 8, distance 3.927186
Analysed days: 12, Interpolated Closest Days: 9, distance 3.927186
Analysed days: 12, Interpolated Closest Days: 10, distance 3.927186
Analysed days: 12, Interpolated Closest Days: 11, distance 3.927186
Analysed days: 28, Interpolated Closest Days: 6, distance 3.968133
Analysed days: 29, Interpolated Closest Days: 6, distance 3.968133
Analysed days: 28, Interpolated Closest Days: 8, distance 4.005777
Analysed days: 29, Interpolated Closest Days: 8, distance 4.005777
Analysed days: 6, Interpolated Closest Days: 3, distance 4.010813
Analysed days: 6, Interpolated Closest Days: 4, distance 4.010813
Analysed days: 6, Interpolated Closest Days: 5, distance 4.010813
Analysed days: 7, Interpolated Closest Days: 3, distance 4.010813
Analysed days: 8, Interpolated Closest Days: 3, distance 4.010813
Analysed days: 9, Interpolated Closest Days: 3, distance 4.010813
Analysed days: 10, Interpolated Closest Days: 3, distance 4.010813
Analysed days: 11, Interpolated Closest Days: 3, distance 4.010813
Analysed days: 12, Interpolated Closest Days: 3, distance 4.010813
Analysed days: 13, Interpolated Closest Days: 3, distance 4.010813
Analysed days: 29, Interpolated Closest Days: 16, distance 4.017023
Analysed days: 3, Interpolated Closest Days: 2, distance 4.029666
Analysed days: 4, Interpolated Closest Days: 2, distance 4.029666
Analysed days: 4, Interpolated Closest Days: 3, distance 4.029666
Analysed days: 5, Interpolated Closest Days: 2, distance 4.029666
Analysed days: 5, Interpolated Closest Days: 3, distance 4.029666
Analysed days: 5, Interpolated Closest Days: 4, distance 4.029666
Analysed days: 29, Interpolated Closest Days: 17, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 18, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 19, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 20, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 21, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 22, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 23, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 24, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 25, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 26, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 27, distance 4.055178
Analysed days: 29, Interpolated Closest Days: 28, distance 4.055178
Analysed days: 28, Interpolated Closest Days: 15, distance 4.058236
Analysed days: 22, Interpolated Closest Days: 12, distance 4.073336
Analysed days: 17, Interpolated Closest Days: 6, distance 4.075905
Analysed days: 18, Interpolated Closest Days: 6, distance 4.075905
Analysed days: 19, Interpolated Closest Days: 6, distance 4.075905
Analysed days: 20, Interpolated Closest Days: 6, distance 4.075905
Analysed days: 21, Interpolated Closest Days: 6, distance 4.075905
Analysed days: 22, Interpolated Closest Days: 6, distance 4.075905
Analysed days: 23, Interpolated Closest Days: 6, distance 4.075905
Analysed days: 24, Interpolated Closest Days: 6, distance 4.075905
Analysed days: 25, Interpolated Closest Days: 6, distance 4.075905
Analysed days: 26, Interpolated Closest Days: 6, distance 4.075905
Analysed days: 13, Interpolated Closest Days: 6, distance 4.083608
Analysed days: 28, Interpolated Closest Days: 7, distance 4.084261
Analysed days: 29, Interpolated Closest Days: 7, distance 4.084261
Analysed days: 29, Interpolated Closest Days: 14, distance 4.086646
Analysed days: 23, Interpolated Closest Days: 13, distance 4.103664
Analysed days: 24, Interpolated Closest Days: 13, distance 4.103664
Analysed days: 25, Interpolated Closest Days: 13, distance 4.103664
Analysed days: 26, Interpolated Closest Days: 13, distance 4.103664
Analysed days: 28, Interpolated Closest Days: 16, distance 4.106707
Analysed days: 28, Interpolated Closest Days: 17, distance 4.106707
Analysed days: 28, Interpolated Closest Days: 18, distance 4.106707
Analysed days: 28, Interpolated Closest Days: 19, distance 4.106707
Analysed days: 28, Interpolated Closest Days: 20, distance 4.106707
Analysed days: 28, Interpolated Closest Days: 21, distance 4.106707
Analysed days: 28, Interpolated Closest Days: 22, distance 4.106707
Analysed days: 28, Interpolated Closest Days: 23, distance 4.106707
Analysed days: 28, Interpolated Closest Days: 24, distance 4.106707
Analysed days: 28, Interpolated Closest Days: 25, distance 4.106707
Analysed days: 28, Interpolated Closest Days: 26, distance 4.106707
